pid,public.0,void.0,BFSdist.0,Node.0,n.0,Vector.0,ToDo.0,int.0,indirConn.0,Node.1,n2.0,=.0,nan.0,for.0,Enumeration.0,es.0,=.1,n.1,adjEdges.0,elements.0,es.1,hasMoreElements.0,n2.1,=.2,n.2,adjNode.0,Edge.0,es.2,nextElement.0,if.0,n2.2,dist.0,<.0,0.0,n2.3,dist.1,=.3,n.3,dist.2,+.0,1.0,indirConn.1,n2.4,dist.3,++.0,// important add adds to the end of the list.200,ToDo.1,add.0,n2.5,if.1,ToDo.2,isEmpty.0,n2.6,=.4,Node.2,ToDo.3,remove.0,0.1,BFSdist.1,n2.7,ToDo.4,indirConn.2,code,participant_summary
136,0,0,18,2,0,0,3,2,1,0,3,2,7,0,14,2,1,3,5,1,3,2,1,0,0,20,0,1,0,3,1,7,0,0,0,12,0,2,3,0,0,11,0,3,0,0,5,1,0,1,17,3,0,1,1,0,0,0,11,5,5,1,58,10
176,0,1,6,5,0,1,0,1,1,0,2,0,4,0,18,1,0,0,9,1,0,0,3,1,4,8,0,0,1,0,3,4,0,0,0,6,0,0,0,0,0,10,0,0,0,0,3,2,0,0,7,0,0,0,0,2,0,0,0,0,0,0,47,6
155,5,7,12,6,1,6,2,3,2,5,1,0,2,1,1,0,1,2,5,0,3,0,2,1,1,3,0,2,0,0,7,10,0,0,2,1,0,2,2,0,0,8,2,2,0,0,11,12,4,0,11,3,5,0,3,5,9,0,34,6,10,8,57,16
117,1,0,0,0,0,0,0,2,0,0,2,0,3,0,6,0,2,0,0,0,0,0,0,1,3,5,0,0,0,1,3,3,0,0,6,5,0,0,1,0,0,4,0,0,1,0,4,0,0,0,7,2,0,2,1,3,0,0,2,0,1,0,48,42
166,0,1,3,0,1,0,0,0,0,1,1,0,0,3,1,1,0,0,2,2,0,0,1,1,3,3,1,1,8,5,0,7,0,2,4,20,0,0,7,0,4,26,5,0,0,0,1,7,2,0,10,1,0,2,5,0,0,0,19,4,4,6,46,19
317,0,0,2,7,0,1,1,1,1,0,3,0,6,2,16,2,3,0,3,2,1,7,1,0,1,44,6,8,10,1,5,21,1,4,4,17,0,2,7,0,4,19,2,1,3,1,0,6,9,0,6,13,1,2,8,9,3,0,12,3,5,3,292,27
168,4,9,5,4,0,0,0,0,0,1,2,1,2,0,22,0,0,0,0,0,0,0,0,0,1,9,6,0,1,0,6,5,0,4,1,4,3,0,0,0,1,8,0,1,0,0,10,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,73,71
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,29
182,0,0,1,0,1,1,1,0,0,2,2,6,2,0,13,0,0,0,0,2,0,0,3,0,4,7,1,2,0,0,4,4,1,0,0,2,0,0,0,0,0,1,0,3,3,0,0,0,0,2,3,5,4,0,0,0,0,0,2,1,1,0,45,40
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2
129,0,8,21,2,3,3,6,1,7,0,4,2,27,0,17,0,1,1,3,0,0,0,0,0,0,13,7,0,0,0,0,7,0,0,0,6,2,0,1,0,0,6,0,4,2,0,1,2,0,0,16,7,0,4,3,3,5,0,1,0,1,0,82,23
111,2,0,0,0,0,0,0,0,0,1,0,0,1,1,4,1,0,0,4,0,0,0,1,0,1,1,1,0,0,0,3,0,0,0,1,0,0,0,2,0,0,1,0,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,23,7
313,3,0,1,1,0,0,0,0,0,2,2,0,0,0,8,1,0,0,11,0,1,0,1,2,3,13,0,0,0,0,5,13,1,1,13,0,1,0,8,1,0,4,4,3,0,0,3,3,0,2,9,1,1,3,5,5,7,0,2,4,10,3,49,15
315,0,1,17,1,2,4,1,0,1,0,0,0,0,0,18,1,0,0,8,0,0,3,0,0,1,6,6,0,1,0,0,5,0,0,0,0,0,1,0,0,0,8,0,5,0,0,4,0,0,0,1,3,0,1,0,0,1,0,4,0,3,0,30,25
133,0,5,3,0,2,6,0,2,0,0,2,1,1,0,12,0,1,1,5,2,2,1,0,0,1,9,0,4,2,0,0,3,0,0,0,3,0,3,0,0,0,3,0,2,0,0,0,0,0,0,4,0,0,0,0,6,13,0,12,3,0,0,44,22
143,2,8,3,4,1,5,2,1,6,4,3,1,5,0,18,1,1,0,4,1,0,0,1,0,1,2,1,1,0,0,6,0,1,0,1,5,0,0,1,0,0,3,0,1,1,0,0,0,0,0,2,0,0,0,0,0,2,0,3,0,0,0,64,21
311,8,2,2,9,0,2,5,4,0,10,7,0,3,2,18,0,0,0,0,0,0,0,1,5,1,7,0,0,0,0,4,4,0,0,0,4,0,0,3,0,0,1,0,0,0,0,8,3,2,0,13,0,0,0,1,5,0,0,0,0,0,0,48,51
314,0,3,1,0,1,0,0,0,0,1,1,0,0,0,11,0,0,0,4,1,0,1,0,0,0,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,5
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,67
318,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,12,15
147,0,0,13,7,3,19,3,2,0,0,5,0,0,0,16,2,0,4,17,1,0,0,0,0,1,20,2,0,1,0,0,2,0,0,1,1,0,0,0,0,0,8,0,2,0,0,0,5,0,0,0,0,0,1,5,0,1,0,6,0,1,0,31,36
191,0,2,1,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,2,0,0,1,0,0,0,6,0,0,1,0,0,5,0,0,0,2,2,0,2,0,0,5,0,0,0,0,10,1,0,0,6,3,1,0,2,2,2,0,6,1,2,0,20,4
189,0,0,5,0,0,0,0,0,0,0,0,1,11,4,55,1,8,2,40,9,10,2,0,1,5,8,5,5,2,0,1,7,0,1,0,3,1,4,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,2,2,44,23
316,0,0,48,12,2,3,2,7,4,0,2,0,2,0,16,3,0,0,19,0,0,0,0,0,1,14,1,0,0,0,0,4,1,0,0,3,0,1,6,0,0,2,0,0,0,0,0,1,0,0,3,4,0,0,0,2,6,0,6,2,3,2,83,41
139,0,5,43,12,0,14,6,6,0,3,9,4,9,1,41,2,3,1,14,8,3,11,12,1,2,26,10,1,3,1,2,19,3,0,0,3,1,2,5,0,3,22,1,0,0,0,7,6,0,0,9,13,1,0,13,11,12,0,15,1,4,2,118,56
