pid,public.0,void.0,actionPerformed.0,ActionEvent.0,e.0,int.0,selectedRows.0,=.0,features.0,getSelectedRows.0,if.0,selectedRows.1,length.0,>.0,0.0,boolean.0,valueToBeSet.0,=.1,Boolean.0,features.1,getValueAt.0,selectedRows.2,0.1,].0,0.2,)).0,booleanValue.0,for.0,int.1,i.0,=.2,0.3,i.1,<.0,selectedRows.3,length.1,i.2,features.2,setValueAt.0,new.0,Boolean.1,valueToBeSet.1,selectedRows.4,i.3,].1,0.4,code,participant_summary
136,0,0,0.03426050001548396,0.03333500004373491,0,0.03750266674129913,0.04250123333185911,0.03750049992231652,0.04798965518972997,0.03426011108482877,0,0.05175621050262922,0.023149777747069795,0.016667000018060207,0,0.023334799986332654,0.035509956534951925,0,0.022222500022811193,0.05555766665687164,0,0.03235388232175918,0,0.024999499903060496,0,0,0.03981655556708574,0,0,0.03541887499159202,0,0,0,0,0.04166766663547605,0,0.0333343332943817,0.03055683325510472,0.03722386667504907,0.033333249972201884,0.048335999995470044,0.016667000018060207,0,0,0,0,0.681096209888634,0.09930949998670258
176,0.03333200002089143,0,0.07083583332132548,0.03863627275198021,0,0,0.03796388886661993,0,0,0,0,0.05287655170782116,0.05000180001370609,0,0.0166680000256747,0.030001799995079636,0.08750337499077432,0,0.06611359996410708,0.18333699996583164,0,0.051925384564898334,0.01666500000283122,0.1166699999012053,0,0.0500040000770241,0.02499899989925325,0,0.04166600003372878,0.016666000010445714,0.016667000018060207,0.016669000033289194,0,0,0.06375209998805076,0.058332999993581325,0.0666693333381166,0.07361266665005435,0.03333374991780147,0,0.058334499946795404,0,0,0,0,0,0.7812816617558437,0.8458643000340089
155,0.03333300002850592,0.016667000018060207,0.05595442858092221,0.02777966666811456,0,0.016667000018060207,0.04999999993015081,0,0.03333666668428729,0.03777986667118967,0,0.03333488234784454,0.05463122223995419,0,0,0.035002000018721446,0.052085222225287,0.02222266667134439,0.0481493333225242,0.061112499994730264,0.02083300001686439,0.05972466666975783,0,0.055557000023933746,0,0.05278083334754532,0.06169135065434815,0,0.01666649998514913,0,0,0,0,0,0.02222166662492479,0,0,0.06666922223262696,0.06905071428211938,0.016667499963659793,0.037499999976716936,0,0,0,0,0,1.125533558828037,0.6591165454486724
117,0.04469836363039741,0.05833499995060265,0.02500049999798648,0.03875175000866875,0.016667000018060207,0,0.045239000007443665,0,0.033334000036120415,0,0,0.039217823544544554,0.04444733331911266,0,0.03889166668523103,0.021668299997691064,0.028646687514992664,0.016663999995216727,0.016674000013154,0.016667000018060207,0,0.12083899998106062,0,0,0,0.03333800000837073,0.04167000000597909,0,0,0,0,0.02222299996841078,0,0,0.05714557140267321,0.05139049999221849,0,0,0,0.016666000010445714,0.016666000010445714,0,0,0,0,0,1.0415295319101634,0.5317677619057664
166,0,0,0,0.12500600004568696,0,0,0,0,0.11666499986313283,0,0,0.028126125005655922,0.016666000010445714,0.016667000018060207,0,0.05833799997344613,0.04285842855460942,0.050008999882265925,0.016666999901644886,0,0,0.05947177272438156,0.01944599999114871,0,0,0.05000249994918704,0.06771112501155585,0,0.027777999988757074,0,0.02222366665955633,0,0,0.025002500042319298,0.022916999994777143,0.0611106666813915,0,0.022223111112705536,0.06389199999264544,0.033334000036120415,0.016666000010445714,0,0.06018666666932404,0.016667000018060207,0.033331000013276935,0,0.7899239999910895,0.3602902333290937
317,0,0.016667000018060207,0.03000086664687842,0.03541875000519212,0.008333499979926273,0,0.022917500005860347,0,0.020833249975112267,0.03291715000232216,0,0.049383111116993755,0.021212272737598556,0,0,0.04444500000681728,0.018750875016849022,0,0.020833250018768013,0.03333533332139874,0.02666860001627356,0.03823682353557909,0.03888966667000204,0.05000300001120195,0,0.016667000018060207,0.03125162501237355,0,0,0.016666999959852546,0,0.01667250000173226,0,0,0.028334599977824837,0.020833499991567805,0.016668500014930032,0.016671999997925013,0.037037555555192135,0.016663333323473733,0.05333519999403506,0.04615523076902788,0.025001333327963948,0.016666000010445714,0.01666733333452915,0,0.4231411458279278,0.14236286740707624
168,0,0,0.022221333308455844,0,0,0,0.033333999977912754,0,0.016667000018060207,0.06667000002926216,0,0.02361233332582439,0.02916700000059791,0,0,0,0.027782833320088685,0,0,0.025004499999340624,0,0.04814866667665127,0,0.016667000018060207,0,0,0.04722316667903215,0,0,0,0,0.016667000018060207,0,0,0.021667600004002453,0,0,0,0.03750099998433143,0.025000000023283064,0,0.016667000018060207,0,0,0,0,0.23825425262881542,0.16333959999959916
319,0,0,0,0.016667000018060207,0,0,0,0,0,0.016666333307512105,0,0.050002666694733,0,0,0,0,0.07222566664374123,0,0.044446000014431775,0,0,0.016668500029481947,0,0,0,0,0,0,0.01666650001425296,0,0,0,0,0,0,0,0,0,0.05000599997583777,0.016667000018060207,0,0,0.02500499994494021,0,0,0,0.31743627273350616,0.23334699997212738
186,0,0.016666999959852546,0,0.04167066665831953,0,0.033333999977912754,0.031550142860006805,0,0.05625249998411164,0.016667499992763624,0,0.0537051111071681,0.016666999959852546,0,0,0.022223333343087386,0.05000162498981808,0,0,0,0,0.04547319564026902,0.016666999959852546,0,0,0.016666333326914657,0.020833749978919514,0,0.022222666632539283,0,0,0,0,0,0.02666859999881126,0,0,0.035938375011028256,0.03750125000078697,0.04833560000406578,0.020834500013734214,0,0.016668999975081533,0,0,0,0.6725574444324054,0.4495264705825214
182,0.055558333348017186,0,0,0.020833500020671636,0,0.07500425000034738,0.10834049998084083,0,0,0,0,0.03788009090666575,0.04047914285911247,0,0,0,0.058335250010713935,0,0,0,0,0.08889099998244394,0.016667000018060207,0,0.022222333316070337,0,0.040152545441577044,0,0,0,0,0,0,0,0,0,0,0.1500079999677837,0.03055733333652218,0,0,0,0.024999999994179234,0,0,0,0.703731166662894,0.40964106896366315
310,0,0,0.016666999959852546,0,0,0,0,0,0,0,0,0.024999999965075403,0.016667000018060207,0,0,0,0.04166699992492795,0,0,0,0,0.027777333355819184,0,0,0,0,0.016667000018060207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13679351218658067,0.1905864782621274
129,0,0.016666000010445714,0.02527866666011202,0.043519111110880554,0,0,0.034850454539991915,0.016666000010445714,0,0.025001499976497144,0,0.04791899998963345,0.0341678999888245,0,0,0.016666000010445714,0.04166776922871717,0,0.019446000010551263,0.045836999983293936,0.024999999994179234,0.05277877777633774,0,0,0,0.025000000023283064,0.03888966667000204,0,0,0,0.016666999959852546,0,0.027777666652885575,0,0.050001400010660293,0,0.049998999980743974,0,0,0,0.06666800001403317,0,0,0,0,0,0.8750322881308621,0.31905957142173846
111,0.04804105882324032,0.04541810000082478,0.04475411111154783,0.03840847826200922,0,0.0375007500006177,0.02500175000022864,0.0166659999958938,0.023334899998735635,0.030558666667881578,0.03333349999593338,0.05833571999915876,0.031251499998688814,0,0.01666800000020885,0.04500279999774648,0.03117411111317644,0.0166659999958938,0.02083350000611972,0.03379666666700763,0.0166659999958938,0.06000239999848418,0,0,0,0.041667999990750104,0.04166816666353649,0.03333500000007916,0.05000116666633403,0.01667099999031052,0.01667099999031052,0.016666249997797422,0,0.050002499992842786,0.029763357141096743,0.054168499998922925,0,0.07500299999810522,0.024999499994009966,0.03888933333413055,0.025001666665048106,0.07916950000435463,0.05740988889657375,0,0,0,0.717048623931443,0.13333500000298953
313,0.016667000018060207,0.07917024999915157,0.011110999999800697,0.029167500004405156,0,0.01666799999657087,0.016666999988956377,0,0.10000900001614355,0.027779333332243066,0,0.0366676000043905,0.025004499999340624,0,0,0,0.03846299999993509,0,0.016665999981341884,0.0750009999901522,0.01666750000731554,0.016666999988956377,0,0,0.016666999988956377,0,0.04815011110945812,0,0,0.016666000010445714,0.016665999981341884,0,0.016666999988956377,0,0.02777733334611791,0.13334100000793114,0,0.03333366666144381,0.05000000000291038,0,0.016666499999701045,0.044445833327093474,0.04305700000016562,0,0,0,0.5742278571470663,0.18167510000057518
315,0,0,0.021429142823243246,0.03333379998221062,0,0,0.027381999996058375,0.01666799996746704,0.025000249996082857,0.03939509090163152,0,0.028571285698230246,0.030003800021950154,0,0,0,0.027587413787841797,0,0.031112799991387875,0.016667307699278284,0.03749950000928948,0.03712372726824304,0.03333499998552725,0.016667000018060207,0.016670000011799857,0.016666999959852546,0.040834799999720416,0,0,0,0,0.02500050002709031,0,0,0.05417000001762062,0.016667000018060207,0,0,0.016670000011799857,0,0.016667199996300043,0.03333333334497487,0.031481999994462564,0,0,0,0.6331684090896901,0.2565065084796762
133,0,0.025000857122774636,0.04242672728882595,0.029166750027798116,0,0,0.027604812508798204,0,0.03041709997924045,0.022221999941393733,0,0.030715542852080294,0.03916880004107952,0.01666799990925938,0,0,0.0347843913199461,0,0.022222666651941836,0.023334600031375885,0,0.022224333370104432,0,0,0.016670000040903687,0.016672000056132674,0.019999600015580654,0,0.01666650001425296,0.016669000033289194,0.03333300002850592,0.01666666668218871,0,0,0.04000320003833622,0.050000333304827414,0,0,0,0,0.016667000018060207,0.03889066663881143,0.016666999785229564,0,0,0,0.8566988999877746,0.24414596298744004
143,0,0.016670000011799857,0.022222499993707363,0.030835000003571623,0,0.016666999988956377,0.01666655555406275,0,0,0,0,0.030208312500690226,0.11667299998225644,0,0,0.016666000010445714,0.02916916666436009,0,0.016666999988956377,0,0,0.02000039999256842,0,0,0.03333299999940209,0,0.03240822222627079,0,0,0.016666000010445714,0.016666000010445714,0.024999500004923902,0,0,0.04166649999388028,0,0,0,0,0,0,0,0,0,0,0,0.7472507058786612,0.2663153478275964
311,0,0.022222333316070337,0,0.016667000018060207,0,0,0.0666703333845362,0,0.025001499976497144,0,0,0.05833600000348977,0.016667000018060207,0,0,0.016667000018060207,0.016667000018060207,0,0.025002499925903976,0.016667000018060207,0,0.058337499969638884,0,0,0,0,0,0,0,0.016667499963659793,0,0.06666800001403317,0,0,0.04166749998694286,0,0,0,0,0,0,0,0,0,0,0,0.6643136428569311,0.2261094528355829
314,0,0.016666499999701045,0.03928692856321244,0.027083375003712717,0.016665999981341884,0,0.04000066666242977,0,0.034376249997876585,0.07273072727151554,0,0.04285842857124018,0.011112666669456909,0,0.04583275000186404,0.03333299999940209,0.03021025000452937,0,0.030954571440815926,0.03889199998229742,0.027779000006072845,0.029167000015149824,0,0,0,0,0.03611133333470207,0,0.10000900001614355,0.022224666657469545,0.06667100000777282,0.03055733334137282,0.016666499999701045,0.016667000018060207,0.03611166666572293,0.07083674999012146,0.016665999981341884,0,0,0.016666999988956377,0,0.03333499999522852,0,0,0,0,0.9000350000027207,0.3625143750141433
106,0,0,0.02963077777854374,0.02333435000182362,0,0,0.030000600003404543,0.016666999988956377,0.05000300002575386,0.01667100001941435,0,0.033334499996271916,0.028571857139468193,0,0,0,0.0805583333518977,0.016666999988956377,0.03333500000140206,0,0,0.031251249987690244,0,0,0.016666000010445714,0,0,0,0,0,0,0.026666400011163206,0,0,0.026666600001044573,0.033340499983751215,0.01666500000283122,0,0,0,0,0,0,0,0,0,0.43401891071490745,0.1375904489731492
318,0,0,0,0,0,0,0.016671999997925013,0.016666000010445714,0,0,0,0.016666999959852546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016667000018060207,0.04166700001223944,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6458587499946589,0.339408818193161
147,0,0,0.03240783332795319,0.0493613845991114,0,0,0.057186068983042036,0,0.05092785184927009,0.05277900001965463,0,0.0547642856836319,0.01666660001501441,0,0,0.01666949997888878,0.07143114284346146,0,0.0383339999942109,0.03000280000269413,0,0.0166683333615462,0.024999999965075403,0,0,0.08333400008268654,0.01666950003709644,0,0,0,0,0.06666599994059652,0,0,0.050003500015009195,0.016670499928295612,0,0.027085500012617558,0.04444566667856028,0,0.03666719996836036,0.020001200016122312,0.02500075001444202,0,0,0,1.327830066671595,0.4250163999851793
191,0.03333599999314174,0.043752500001573935,0.03666693333070725,0.025696500000776723,0,0.02916766668204218,0.0357147143056084,0,0.02500160001218319,0.04702642855201183,0.016665999894030392,0.03489721874211682,0.030093722239447136,0,0,0.033334000036120415,0.024638130430780027,0.01666500000283122,0.018182727275416255,0.03333449999835076,0.020833250018768013,0.041667909107424995,0.01666650001425296,0.03166879997588694,0,0.03333500004373491,0.029862499970477074,0,0.016669999982696027,0.016666000010445714,0,0.012499750009737909,0,0,0.024480687483446673,0,0,0.016667000018060207,0.0638916667085141,0.024999500019475818,0.02222300002661844,0.016663999995216727,0.03333528572693467,0,0,0,0.6653162568835371,0.3288418648582002
189,0,0.02083525000489317,0.03071804651158028,0.03161062068779599,0.03333299997029826,0,0.028092516129911548,0.037500500002352055,0.037070689652645,0.03988235714703998,0,0.03447090908858544,0.03750249998847721,0.033333999977912754,0,0.05417149999993853,0.027326511622536496,0,0.01666799999657087,0.03749950000201352,0,0.028518174314356638,0.022436538458210774,0.02179576922655822,0,0.023333399987313895,0.026668399998452514,0,0.05000400001881644,0,0,0,0,0.016667000018060207,0.02187556250282796,0.01944683334537937,0,0.034822642862439225,0.0340586231879728,0.016669999997247942,0.035485258068694105,0.03254023809512589,0.02333375999936834,0.016666000010445714,0,0,0.7479316721868274,0.14071046153772981
316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3041755833304099
312,0,0,0.026192428560794463,0,0,0,0,0,0,0,0,0,0.10000400000717491,0,0,0,0.01666949997888878,0,0.03333300002850592,0,0.016667000018060207,0,0.024999999965075403,0,0,0,0.03148177778348327,0,0,0,0,0,0,0,0.029170249996241182,0,0,0,0,0,0,0.02500500000314787,0,0,0,0,0.3304040588109809,0.08333400002447888
139,0,0.06666699999914272,0.0369063333334149,0.04345378571412896,0,0.0678581428567538,0.04222348888902666,0,0.04904937142824305,0.047313935483895966,0.016667000001689303,0.03782161538464816,0.044445944444406554,0.03333566666636519,0.03125049999971452,0.06481677777749913,0.06932022727286577,0.016669000000547385,0.03194516666664842,0.02916772222205408,0.022222333333047573,0.060529157895105434,0.04404885714315502,0.10000399999989895,0,0.04861299999993207,0.03583500000040658,0.029632111111317902,0.016667833333182596,0,0.03333300000122108,0.027082999999947788,0.016663999998854706,0.03333399999974063,0.0397232999999081,0.04681508823512773,0.033336999998937245,0.03452485714322912,0.040001400000134406,0,0.016666999999870313,0,0,0,0,0,0.8574800794701651,0.33476782926841336
