pid,private.0,String.0,getUserNameFromCookie.0,throws.0,Exception.0,String.1,userName.0,=.0,nan.0,// get user name.200,Cookie.0,cookies.0,=.1,servletRequest.0,getCookies.0,for.0,int.0,i.0,=.2,0.0,i.1,<.0,cookies.1,length.0,i.2,Cookie.1,cookie.0,=.3,cookies.2,i.3,if.0,cookie.1,!=.0,nan.1,&&.0,cookie.2,getName.0,equals.0,"""platform.username"".0",String.2,value.0,=.4,cookie.3,getValue.0,userName.1,=.5,DesEncrypter.0,getInstance.0,decrypt.0,value.1,break.0,return.0,userName.2,code,participant_summary
136,0,0.03333500004373491,0.04524185708058732,0,0.016666999785229564,0,0.02000039997510612,0,0,0.033334000036120415,0,0.03333300002850592,0,0.016667000018060207,0,0,0,0,0.016666000010445714,0,0,0,0.04166499990969896,0.03333533345721662,0,0,0,0,0.04333520005457103,0,0,0.023334300029091537,0,0.016666000010445714,0,0.02916700002970174,0.03472233334711442,0.036111333329851426,0.016666000010445714,0.06667149986606091,0,0,0.03333333336437742,0,0.06111216665400813,0,0.03333333336437742,0.0333360000513494,0.03889266665404042,0,0.025000750028993934,0.03333300002850592,0,0.6591926666519915,0.02307784612863683
176,0,0,0.08750300004612654,0,0,0,0.016667000018060207,0,0,0.25001000007614493,0,0.07083599991165102,0,0.029168250039219856,0,0,0.06666600005701184,0,0.016667500021867454,0,0,0,0.016666000010445714,0,0,0,0,0,0,0,0,0.050008999882265925,0,0,0,0.03333300002850592,0,0,0,0,0.04166600003372878,0,0.07708424987504259,0,0.07500100007746369,0,0.03541799995582551,0,0,0,0.0166680000256747,0,0,0.7601153684387866,0.727591615385161
155,0.05000699998345226,0,0.013333400001283736,0,0,0.049999000038951635,0.03214514286290588,0.05833549998351373,0.01666650001425296,0.07917300003464334,0.03518844444382315,0.016669999982696027,0,0.04583749998710118,0,0,0,0,0,0,0,0,0,0,0,0.06667024998751003,0,0,0,0,0,0,0,0,0,0.054169499984709546,0,0,0.07870533334789798,0,0.0937530000373954,0,0.050001800002064556,0.045100647069322056,0.06111333332955837,0,0.044049142859876156,0.016667000018060207,0,0,0.04166950001672376,0.03334199998062104,0.01667099999031052,0.7851483928472069,0.32008822727154684
317,0,0,0.051852222240995616,0,0,0,0,0,0.025000999972689897,0.016667000018060207,0.02500200003851205,0.04166849996545352,0,0.04166724997048732,0.016671999997925013,0,0.016667000018060207,0,0,0,0,0,0,0,0,0.01666799999657087,0,0.016667000018060207,0.016667000018060207,0,0,0,0,0,0,0,0,0,0,0.03889033334174504,0,0,0,0,0.02777766667228813,0,0.033328000019537285,0.025002500042319298,0.033336249995045364,0,0.03888966667000204,0.01667100004851818,0,0.39363093617337536,0.06905257142248697
319,0,0,0.016669000033289194,0,0,0,0,0,0.025031999975908548,0,0.016666999901644886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03338200005237013,0,0,0,0,0,0,0,0,0,0.01669299998320639,0,0,0,0,0,0,0,0,0,0,0.01669900002889335,0,0,0,0,0,0,0.17013320005498828,0.13899950000147024
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023611333327911172,0.04167300002882257,0,0,0,0,0.42918450001161546,0.033333999977912754
182,0,0,0.02083350000611972,0,0,0.02666680000256747,0.03333499998552725,0.016666999959852546,0,0,0.1666749999858439,0.016666000010445714,0,0,0.02187662501091836,0,0,0,0,0,0,0,0.13334100000793114,0.03333650002605282,0.15833800000837073,0.03518788889697236,0.025000999972689897,0,0.04166700001223944,0,0,0,0,0,0.016665999981341884,0,0,0,0,0,0,0,0,0,0.10833900002762675,0,0,0,0,0,0,0,0,0.5107030256305081,0.293077135999687
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0.025759181822650135,0.016667000018060207,0,0,0.05166800000006333,0,0.044444666690348335,0.06666650001716334,0,0,0,0.016670499986503273,0,0,0,0,0.016667000018060207,0,0,0,0,0,0,0,0,0,0,0,0,0.06667400000151247,0.016666999959852546,0,0,0,0,0.016666000010445714,0,0.01666766667040065,0,0.01667099999031052,0,0,0.016667000018060207,0,0,0,0,0,0.016665999952238053,0,0,0.7510700625061872,0.2166746666674347
111,0.03333299999940209,0.150009000004502,0.04853100000079447,0,0,0.022221999999601394,0.025003250000736443,0.01666799999657087,0,0,0.060899846152796484,0,0,0.02870444444447963,0,0.033334000007016584,0,0,0,0,0,0,0.03333533333595066,0,0,0,0,0,0.04167149999557296,0,0,0.027779999999135423,0,0.022224000000278465,0.06250050000380725,0.0388913333364245,0.02500250000593951,0,0.0166659999958938,0.03333550001116237,0.03333433333076149,0.024999999994179234,0.03333519999869168,0,0.016666666667636793,0,0.033334800001466644,0.0666660000133561,0,0,0.03333349998865742,0.0166659999958938,0,0.46961162162069986,0.15897884615361152
313,0.036669199989410116,0.0285725714306214,0.04615523077126664,0,0,0.016665999981341884,0.01667399998405017,0,0,0,0,0,0,0.04333480000495911,0,0.03333300001880465,0.016666999988956377,0.016671999997925013,0,0,0,0,0.03333300000667805,0.016666000010445714,0,0.0361114999880859,0.023334000015165657,0.01666733333452915,0.041668800002662466,0,0,0.06250162500145962,0.05833450001955498,0.026662800007034092,0.047621285709153326,0.04254581579114433,0.045240071427542716,0.042859428570539294,0.031946166658599395,0.045002399984514344,0.049999000009847805,0,0.02777783333375636,0.027085124998848187,0.04629822223149757,0,0.04444619047128418,0.027777666662586853,0.04444613333325833,0,0.02639008333547584,0.055559666662399344,0.016666999988956377,0.6881992419357337,0.3378934545511253
315,0,0,0.03333506249691709,0.01666799996746704,0.016666000010445714,0,0.043939272724938666,0,0.022221666644327343,0.022222666651941836,0.016667000018060207,0.03333500002433235,0,0.038334700011182575,0,0,0,0,0,0,0,0,0,0,0,0,0.02777733331701408,0,0.016667499992763624,0,0,0.016658000007737428,0.016667000018060207,0.01999999999534339,0,0.06333699999377132,0.02499974999227561,0.026192285735825344,0.022222833324728224,0.027084000001195818,0.016666999959852546,0.016670000040903687,0.02500016667181626,0.01875087499502115,0.0416689999983646,0,0.04583575000287965,0.05000449996441603,0.016668999994484086,0,0,0,0,0.6652107777785407,0.24098116666815864
133,0,0.04531418748956639,0.045372333325859576,0.030953000033540384,0,0.027501500002108513,0.016667000018060207,0,0,0.10000400012359023,0.033332666692634426,0.0333339999585102,0,0.04285899995427046,0.01666650001425296,0,0.025000000023283064,0,0.016666000010445714,0.041667249985039234,0,0.03333900007419288,0.03452342858404985,0,0,0,0,0,0,0,0,0.027777833320821326,0.033337000058963895,0.044447666654984154,0,0.050759545442732895,0.016667500021867454,0,0,0.03583440000656992,0.06666700006462634,0,0.07222433333906035,0.05714557140267321,0.0750052499352023,0,0,0,0,0,0.04999999998835847,0.02500200003851205,0.024999666609801352,0.5377071044901247,0.3560021562661859
143,0,0.02416739999607671,0.02564211538433133,0,0,0.016665999981341884,0.023528823531438214,0,0,0.03333400001671786,0.01667099999031052,0,0,0.016667000018060207,0,0,0.01666700000059791,0,0.016666999988956377,0.016666499999701045,0,0.016666000010445714,0.016666999988956377,0.03333899998688139,0,0,0,0,0,0,0,0.020833999995375052,0,0,0.016666499999701045,0.03333299997029826,0,0,0,0,0,0,0,0,0.03333299999940209,0,0,0,0,0,0,0,0.05416949999926146,0.7279075090900402,0.25245967646975154
311,0,0.13333700003568083,0.0479180000256747,0,0,0.0166680000256747,0.049999000038951635,0.016667000018060207,0.025000999972689897,0,0,0,0,0.016667000018060207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03333300002850592,0,0,0,0,0,0,0,0,0.3541784375120187,0.18222760000110913
314,0,0.016666000010445714,0,0,0,0.01666733333452915,0,0,0,0,0,0.016666999988956377,0,0,0,0,0,0,0,0.050002000032691285,0,0,0.016666000010445714,0,0,0,0.04167099999904167,0,0.02777966664871201,0,0,0.03333200002089143,0.05000000000291038,0,0,0,0,0,0,0,0.033333999977912754,0,0,0,0,0,0,0,0,0,0,0,0,0.3416802499972012,0
106,0,0.029166750005970243,0.03333433332348553,0,0,0.025001000001793727,0.03889133333965825,0,0,0,0.016667000003508292,0,0,0,0,0,0.027781333337770775,0,0,0,0,0,0,0,0,0,0,0,0.03333800000837073,0,0,0,0,0,0,0,0,0,0,0,0.044445000016518556,0.03333300002850592,0.022221999989900116,0.11667200000374578,0,0,0,0,0,0,0,0,0,0.2227355909033742,0.20834104761403674
318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14167049999377923,0.38685647368210513
147,0,0.07500250003067777,0.05516095236054666,0.01666799990925938,0,0,0.02500125000369735,0,0,0,0.07500300003448501,0.03333200002089143,0,0.03869635714883251,0.016665999894030392,0,0,0,0,0.03333300002850592,0,0,0,0,0,0,0.01666866665861259,0,0.029999900003895165,0,0,0,0,0.03333399991970509,0,0,0,0,0.016667000018060207,0.02778000000398606,0,0,0.016673000063747168,0,0.028126500008511357,0,0.09643171428303633,0,0,0,0.02333500001113862,0,0,0.6550238000275567,0.24516348836965166
191,0.02500050002709031,0.020002200012095274,0.04167200002120808,0,0,0.03636490908155048,0.04166766664517733,0,0.05000300001120195,0.04999700002372265,0,0.02222333332368483,0.016666000010445714,0.03500249999342486,0,0,0.0333346666690583,0.033337999950163066,0.016666999901644886,0.03333300002850592,0,0.016666000010445714,0.018055499996989965,0.016667000018060207,0,0.016667000018060207,0.033334000002858896,0.016668999916873872,0.016666000010445714,0,0,0.03333599999314174,0,0.016666000010445714,0.022222000019003946,0.04000219998415559,0,0.03332699998281896,0.016666000010445714,0.09167200000956655,0.016667000018060207,0.016667000018060207,0.027778333324628573,0.06667166668921709,0.033335666715477906,0.03333300002850592,0.02500049996888265,0.016666000010445714,0,0,0.0208344999991823,0,0,0.5061790869669125,0.2622906052642257
189,0,0,0.050982294114553094,0.02499999997962732,0,0,0.045835500008251984,0,0.05416850000619888,0,0,0,0,0.05666880001081154,0.028333600010955706,0,0,0,0,0,0,0,0.020833499998843763,0,0,0,0.016666499999701045,0,0.029167500004405156,0,0,0,0.016667000018060207,0,0,0,0.016666499999701045,0,0.016666999988956377,0.016667000003508292,0,0,0.022224000005129103,0.016673000005539507,0.033334000007016584,0,0.02222433332159805,0.05555749999863716,0.022224666667170823,0,0.04166949998761993,0,0,0.7333615625011589,0.10312849999900209
316,0,0.06250349996844307,0.04166970833709153,0.033335250031086616,0,0,0.03333999996539205,0,0,0.016671999997925013,0,0,0,0.021213363617954947,0,0,0,0.03889099997468293,0,0,0.016667000018060207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666000010445714,0.08333800005493686,0.033335500018438324,0,0.016667000018060207,0,0.016666000010445714,0.03333600002224557,0.016666999959852546,0.033333999977912754,0,0.00833399998373352,0,0,0,0.016666999959852546,0,0.016667000018060207,0.8396872758648584,0.297234333327247
139,0,0,0.03589953846151799,0,0,0.025000999999974738,0.058334500000000844,0,0,0,0.016665999999531778,0.016665999999531778,0,0.05303127272716004,0.03333666666609739,0,0.02499950000037643,0,0,0,0.06667100000049686,0.016666333333584287,0.03541850000010527,0,0,0,0,0,0.022221666666761546,0,0,0.14167099999940547,0.024999499999466934,0.016665999999531778,0.016665999999531778,0.026191857142943524,0.02222300000054626,0.021429428570887206,0,0.044445777777986625,0.03645862500025032,0.033333666666900776,0.028572142857748468,0.05049247058827057,0.03333399999989221,0,0.016666666666424135,0.0916639999995823,0,0,0.054169999999733896,0.04444599999927353,0,0.614764596153621,0.510274884615333
