pid,public.0,void.0,go.0,String.0,theUserName.0,try.0,new.0,ChatUI.0,MessageInputReceiver.0,this.0,theUserName.1,// shake hands.200,writer.0,println.0,theUserName.2,writer.1,flush.0,// OK means init with server went well.201,if.0,reader.0,readLine.0,equals.0,"""OK"".0",initialized.0,=.0,TRUE.0,readChat.0,else.0,bailOut.0,new.1,IOException.0,"""handshake failed"".100",catch.0,IOException.1,ioe.0,bailOut.1,ioe.1,catch.1,Exception.0,e.0,bailOut.2,e.1,code,participant_summary
136,0,0.016667499905452132,0.016667000018060207,0.033336249995045364,0.10667059998959302,0,0,0.04677612904549366,0.04091003030595003,0.022225333377718925,0.022222333277265232,0.034616461560989804,0,0.0622567058650448,0.028031636389311065,0.02778266657454272,0.029824842110668357,0,0,0.016667000018060207,0.02500155555187828,0,0,0.026297155555544627,0,0.016670000040903687,0.03437600002507679,0,0.04524114288921867,0,0,0,0,0.016667000018060207,0,0.03333800006657839,0,0,0.05000250006560236,0,0.03750249999575317,0,0.6199821728356413,0.12976735717217838
176,0,0,0.049999999813735485,0,0,0,0,0.04464492858720145,0.058336166664958,0,0,0.025002399971708656,0.050000499933958054,0.03194549997958044,0,0.06309528575677957,0.03333426665825148,0,0,0.047223000011096396,0.030001400015316905,0.22500899992883205,0,0.07500290908766064,0,0.016667000018060207,0.04305766670343777,0.02500200003851205,0.050002000061795115,0,0,0,0,0,0,0.020833499962463975,0,0,0,0,0,0,0.519834311099516,0.3051399615360424
155,0,0,0,0,0,0.03833459998713806,0.03333900001598522,0.08334500005003065,0.06250399999165286,0,0,0.12500383333341838,0.05000274998747045,0.027778999996371567,0.17500200000358745,0.08148555555898282,0.05555699998512864,0,0,0.03333599999314174,0.07500749998143874,0,0,0.03166809999966062,0.01666649998514913,0.041668333346024156,0.08167099999845959,0.15000600001076236,0.08333266666159034,0,0.03333299999940209,0,0,0,0,0.056669399980455636,0.06250350002665073,0.023612166667589918,0.023809428559616208,0,0.03055500000482425,0,0.47020973077339406,0.3683415999868885
117,0.03333599999314174,0.033333000009103365,0,0,0.04999999993015081,0.02777966664871201,0.016666999959852546,0.07500333331214885,0.02500149999104906,0,0,0.03333499998552725,0.03426066665108212,0.020833250018768013,0,0.018056000000797212,0.07500299997627735,0,0,0.030209499986085575,0.02500049999798648,0.016666000010445714,0,0.027777166668480884,0,0,0.016667999986869592,0.024999999965075403,0.027778500011966873,0.033332999989700816,0.8416999999899417,0,0.03333575002034195,0,0,0.025001428572327962,0,0.016668000011122786,0.01666799996746704,0,0.012500499986344948,0,0.6364067073176024,0.2530103599932045
166,0,0,0,0.0333360000513494,0,0,0,0.016666000010445714,0,0,0,0.0333360000513494,0,0,0.033334000036120415,0.04166925000026822,0.016668666619807482,0,0,0.025002999987918884,0.04167299997061491,0.06666899996344,0,0.03055766667239368,0.025003000046126544,0,0.03250060001155362,0.03333599993493408,0.025000250025186688,0.0500019999841849,0.03333300002850592,0,0.03611300000920892,0.05277899998084953,0,0.025001000007614495,0.0333360000513494,0.019444000014724832,0.05729337499360554,0,0,0,0.3596615262979053,0.1300053999836867
317,0,0,0.02500049999798648,0,0,0,0,0,0.06667299999389797,0,0,0,0.04444599999502922,0.029168250010116026,0.016665999981341884,0.020834750001085922,0.022222333316070337,0,0,0.019047285729487027,0,0,0,0.024999500019475818,0,0.016674999962560833,0.029168750013923272,0.016667750009219162,0,0,0,0,0,0,0,0.06666800001403317,0,0,0,0,0.01666799999657087,0,0.10111474444792191,0.08333736001048236
168,0,0,0,0.027777833349925157,0,0,0,0.025000750028993934,0.025000000023283064,0,0,0.05000450002262369,0,0.01666649998514913,0.016668999975081533,0,0.022222000019003946,0,0,0,0,0,0,0.01111099999009942,0,0,0.024999500004923902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4216828666588602,0.04881071427371353
319,0,0,0,0,0,0,0,0.03333350003231317,0,0,0,0,0.03333566663786769,0.03055700003945579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13095649998701578,0
186,0,0,0,0,0,0,0,0.016668000002391638,0.016666000010445714,0,0,0.016667000018060207,0.01666766663159554,0.018751249994238606,0.039104230755653516,0.03888899999179153,0.031374352936194665,0,0,0,0.033334750012727454,0.06666866666637361,0,0.029168749984819442,0,0.0166680000256747,0.052779888889441885,0,0.05166840000310913,0,0,0,0,0.016666999959852546,0,0,0.02777766667228813,0,0,0,0.033335500018438324,0,0.389204567559441,0.04226357142657174
182,0.050000500021269545,0.06250299999373965,0.03333900001598522,0.033333999977912754,0.04444700002204627,0.0250034999626223,0,0.041672999985166825,0.016666333326914657,0,0,0,0.038096999982371926,0.06500100002158433,0,0,0.016668500000378117,0,0,0,0.10000100004253909,0.05000400001881644,0,0,0,0,0.02777866666050007,0.027780999992198,0.055555333325173706,0,0,0,0,0.04166849996545352,0,0,0,0.033337000000756234,0,0,0,0,0.32709545000689105,0.4068136315832625
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1133386000059545,0
129,0,0,0.03500059999059886,0.03333349999593338,0.016666999959852546,0,0,0.06666828573880983,0.04791887500323355,0,0,0.016667000018060207,0,0.037501166661968455,0.02499975002137944,0,0.04666679999791086,0,0,0.054168600001139565,0.029165999992983416,0,0,0.08021087500674184,0,0,0.04444633332119944,0,0,0,0,0,0,0,0,0,0.016666000010445714,0,0,0,0,0,0.6117240000018315,0.4818638214305143
111,0.016666000003169756,0.0888929999928223,0.03888899999340841,0.03333599999314174,0.033332999984850176,0.03541824999956589,0.027777333326715354,0.030002399999648332,0.03125050000380725,0.06146000000080676,0.016666000010445714,0.016666999996232335,0.03277913333537678,0.03958575000433484,0,0.04166823076733495,0.06428928571196073,0,0.03166880000499077,0.06667300000844989,0.03125175000059244,0.0166659999958938,0,0,0,0,0,0,0.016666999998657655,0,0.033334000007016584,0,0,0.041669500002171844,0,0.025001499998325016,0,0.1000110000022687,0,0,0.05000299999665003,0,0.6418257213095546,0.10625425000034738
313,0,0,0,0,0,0,0.029168999993999023,0.016674000013154,0.027781000001899276,0.07221833333217849,0,0,0.08182036363392729,0.016666999988956377,0,0.036111833331233356,0,0,0,0.024999999994179234,0,0.02666699998662807,0,0.03333499998552725,0,0,0.01666649998514913,0.016666749987052754,0.036112166669530175,0,0.02500175000022864,0,0,0,0,0,0,0.0333365000115009,0,0,0,0,0.3648287777792171,0.31901273999770635
315,0,0.033325000025797635,0.016667000018060207,0.05000149999978021,0.022222666632539283,0,0.016667000018060207,0.016670833312673494,0.016674500016961247,0.016666333346317213,0.022222333316070337,0.029166250009438954,0,0.021212181822523813,0.016664666686362278,0,0.03205261537536549,0,0,0.03333200002089143,0.020832000009249896,0.016672000056132674,0,0.025000500012538396,0.016667000018060207,0.019998200004920363,0.03718138460625106,0,0.02083300001686439,0,0,0,0,0.03333400001671786,0,0.033334000036120415,0.06666700000641868,0,0.045835666659210496,0,0.01666500000283122,0.016666000010445714,0.2940790508419938,0.2000075238063887
133,0.022222666690746944,0.016666999785229564,0,0.036669199960306285,0.05000039995647967,0,0.05278233337836961,0.030903333322688315,0.03444580002687871,0.03257681818848306,0.03333300002850592,0.02666600001975894,0.05416749999858439,0.04047757141026003,0.026191571428041373,0.025000750028993934,0.029168250039219856,0,0,0.043335533359398444,0.041204888891014785,0.03333300002850592,0,0.030130230767938953,0,0,0.038196166686248034,0,0.03863836357116022,0,0.050005000084638596,0,0,0.054170750052435324,0,0.03750024997862056,0,0,0.10208924999460578,0,0,0,0.5656456406359212,0.2726938611142234
143,0,0.02777733331701408,0.026191714290429706,0,0.025000999972689897,0,0,0.03182072727147236,0.016666999988956377,0,0,0,0.016668999994484086,0.02778233333568399,0.022221999999601394,0.016666999988956377,0,0,0,0.01666799999657087,0,0,0,0,0,0,0,0,0,0,0,0,0.016665999981341884,0,0,0.033334000007016584,0,0.016665999981341884,0,0,0,0,0.5953928518466893,0.10178964285296388
311,0,0,0,0,0,0,0.024075333326537576,0.016666000010445714,0,0.016667000018060207,0,0.03333300002850592,0.016665999894030392,0,0,0.058333000051788986,0.09166874998481944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05000100005418062,0,0,0.016666000010445714,0,0,0,0,0,0,0.2750088636477647,0.14000880003441124
314,0,0,0.030001600011019036,0.016669999982696027,0,0,0,0.016666499999701045,0.033336000007693656,0.016666000010445714,0,0.016667000018060207,0,0.03333400001671786,0,0,0.06250224999530474,0,0,0.016667333324827876,0,0,0,0.008333000005222857,0,0,0.0166659999958938,0,0.016666999988956377,0,0,0,0,0.016666000010445714,0,0.091666999986046,0,0,0,0,0,0,0.6186498823551707,0
106,0,0.016666000010445714,0,0.016666999988956377,0.024999999994179234,0,0.016666999988956377,0.020833166665397584,0.027084374996775296,0,0,0.016664999983428668,0.03750049998780014,0,0.016666999988956377,0.03333360000397079,0.02777766666743749,0,0,0.049998999980743974,0.016675999999279156,0,0,0.03333299999940209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1191708214296211,0.08125289473460534
318,0,0,0,0.016666999988956377,0.033340999973006546,0,0,0,0,0,0,0.08334000001195818,0,0,0,0,0,0,0,0.016666000010445714,0,0,0,0,0,0,0.04444500002621984,0,0.06667100003687665,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09722636111999033,0.04230876923359644
147,0,0.020001299981959163,0.025000999972689897,0.031816727238368585,0.0333353333408013,0,0,0.02619135714069541,0.041669111103854246,0,0,0.024999500019475818,0.029167500004405156,0.037223399997067946,0.016667000018060207,0.030557000026520755,0.029168250010116026,0,0,0.03000119999051094,0.03472299997035103,0.03833560000639409,0,0.050001400010660293,0,0,0.054168000002391636,0,0.19167700002435595,0.05000175000168383,0.0333329999120906,0,0.0472233333469679,0.05416950004291721,0,0.03333449998172,0,0,0,0,0,0,0.7547711206877058,0.4032422580733715
191,0,0.03333200002089143,0.013888999974975983,0.034723416659592964,0.029168624998419546,0,0.024999999965075403,0.03576462500010772,0.018333799997344614,0.03333499995642342,0.025001000030897558,0.027778333363433678,0.03889333336458852,0.027779333332243066,0,0,0.026666599977761506,0,0,0.046429999970964024,0.02333500001113862,0.0333329999120906,0,0.016666666662786156,0,0,0.03333399991970509,0.016666000010445714,0.016666000010445714,0,0,0,0,0.016673000063747168,0,0.029167624990805052,0.05834099999628961,0.033331999904476106,0,0,0,0,0.6215151052660587,0.505673964291678
189,0,0,0.016667000018060207,0.016666000010445714,0.016666000010445714,0,0,0.03148200000093008,0.041671500002848916,0,0,0.03333428571932018,0,0.03125112499765237,0.016667599993525073,0,0.0420854500043788,0,0,0.024999999994179234,0.02142942857712374,0.05000099999597296,0.0166659999958938,0.0527786666708481,0.016666999988956377,0.022225333338913817,0.039745384614574365,0,0.050003999999413885,0,0.022224000005129103,0,0,0.01666774998739129,0,0.016667000003508292,0.04523885714089764,0.016667000018060207,0.016667499992763624,0,0,0,0.46251780555798583,0.35872527272228827
316,0,0,0.033335500018438324,0.030001500016078354,0.07083700002112892,0,0,0.036509952388725994,0.016667000018060207,0,0,0.016667250005411915,0,0.03541662499628728,0,0,0.016671999997925013,0,0,0.03333200002089143,0.05000700004165992,0,0,0.016666999998657655,0,0,0,0,0.02222466664776827,0,0,0,0,0.05000033334363252,0,0.016669000033289194,0,0,0.03333624998049345,0,0,0,0.33334550980305044,0.10909593182044443
312,0,0,0,0,0,0,0,0.09167000002344139,0.04167149995919317,0,0,0,0,0.07666880001779645,0.02692530768063779,0,0.05833649990381673,0,0,0,0.02500049996888265,0,0,0.03333349997410551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6944710832904093,0.05833949998486787
139,0.016666999999870313,0.05000300000028801,0.016666999999870313,0.07333480000015698,0.04444366666636294,0.0333360000004177,0.06667033333299817,0.05000199999974737,0.05631457575730041,0,0,0.06667033333330134,0.03833379999996396,0.039786419354817144,0.047026857142684876,0.05312674999981937,0.035753451612876117,0,0.03333299999940209,0.03437649999978021,0.034723999999944986,0,0,0.04666839999972581,0,0,0.03148311111080046,0.0812507499995263,0.037038666666881506,0.08333999999922526,0,0,0.06110999999994723,0.036668400000417024,0,0.033334000000043794,0.016666999999870313,0,0.04166750000058528,0,0.040000200000577024,0,0.5052255480769733,0.3857552444442667
