pid,public.0,void.0,swapItems.0,int.0,index.0,int.1,change.0,if.0,index.1,>=.0,0.0,&&.0,index.2,<.0,allItems.0,length.0,&&.1,change.1,>=.1,0.1,&&.2,change.2,<.1,allItems.1,length.1,MenuItem.0,temp.0,=.0,allItems.2,index.3,allItems.3,index.4,=.1,allItems.4,change.3,allItems.5,change.4,=.2,temp.1,code,participant_summary
136,0,0,0.04166700004134327,0.016667000018060207,0,0,0,0,0,0.033336499938741326,0.016667000018060207,0.025000000023283064,0.033335999973739185,0,0.05555766665687164,0,0,0.016667000018060207,0,0,0,0,0,0,0,0.07500366664802034,0.10417050000978634,0,0.033333999942988156,0,0.03333300002850592,0.03472325000135849,0,0.026042499957839027,0,0,0,0,0.016666000010445714,1.0778205555139317,0
176,0.016667500021867454,0.07778233336284757,0.05104274999757763,0.03333549993112683,0.08125112499692477,0.04000059994868934,0.12223033343131344,0,0.025000875029945746,0.052781999964887895,0.033334000036120415,0,0.03333749994635582,0,0.016667000018060207,0,0,0.026668200036510825,0,0,0,0,0,0,0,0.04611193335925539,0.02222466670597593,0,0.011111333267763257,0,0.05897707690914663,0.05625324998982251,0,0.0666673332452774,0,0.11667166673578322,0.016667000018060207,0,0.025005499948747456,1.2559998571523465,0.5121414545203813
155,0.033337000000756234,0.016667000018060207,0.0333346666690583,0.04999933335542058,0.016667000018060207,0.052085000002989545,0,0,0,0,0,0,0.01666799996746704,0,0,0.0958379999792669,0,0,0,0,0,0,0,0,0,0.05000399996060878,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2604660000142758,0.1966738000162877
117,0,0.03141100000805007,0.031251428576069884,0.022224166663363576,0.030770461549624227,0.04166799997134755,0.037501500017242506,0,0.02045572726373476,0.016666000010445714,0,0.027778999976969015,0.027084249988547526,0,0.033334200002718715,0,0,0,0,0,0,0,0,0,0,0.016665999981341884,0.016666857151514187,0,0.031019888886172946,0,0,0.033333999977912754,0,0,0,0,0,0,0,1.238091434781065,0.26834411999443547
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023331400007009506,0,0,0,0,0,0,0,0,0,0,0.033334000036120415,0.016667000018060207,0,0.08055633333666871,0,0.016667750023771077,0.026669600000604986,0,0,0,0.025001500005600974,0.035419250023551285,0,0.08334000001195818,1.0667084285856359,0.13333777774177077
317,0,0,0.030000400019343943,0.03333299997029826,0.033333999977912754,0.01666799996746704,0,0,0.016667000018060207,0.025002499984111637,0,0,0.016666999959852546,0,0.016667000018060207,0.01666649998514913,0,0.016668333342143644,0,0,0,0,0,0.016666999959852546,0.016666000010445714,0.04166600000462495,0.023334799986332654,0,0.044448999979067594,0.037502499981201254,0,0.04444599997562667,0,0.020002799993380904,0.016673000005539507,0,0.03333300002850592,0,0.050001999974483624,0.5938833157885248,0.13253204838462895
168,0,0.02500049999798648,0.02083350000611972,0,0.016666000010445714,0,0.016665999952238053,0,0,0,0,0,0.03055583332510044,0.016666000010445714,0.024999499990371987,0,0,0,0,0,0,0,0,0,0,0.03333333332557231,0.01666675000160467,0,0.019047714279232814,0,0.025002500013215467,0,0,0.01667100001941435,0.016667000018060207,0,0.0312512499949662,0,0,0.6337540952372365,0.42131011111497946
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024998499953653663,0,0,0.11250441667895454,0.041670250036986545
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416687999968417,0.1690551428639862
182,0.024999999994179234,0,0.08472399998572655,0,0,0.016668999975081533,0,0,0,0.13334100000793114,0.016667000018060207,0,0.027777333336416632,0,0.17500699998345226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6189123666709444,1.1083754999926896
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0.06905099999858066,0.050003999999413885,0,0.02916700000059791,0.016666000010445714,0,0.04583450000791345,0.016666000010445714,0,0.05416699999477714,0.03749899999820627,0.016667000018060207,0.041670166654512286,0.2083390000043437,0,0,0,0,0,0.01667099999031052,0,0.022222333335472893,0,0.027382571424823254,0.016666000010445714,0.016667000018060207,0.031864411762559455,0,0.016669999982696027,0.027778333324628573,0,0.06666680000489578,0,0,0,0,0,0.9900370800052769,0.5324267222248535
111,0.045835500000976026,0.027778444446287014,0.040477571428449925,0.0166659999958938,0.07000259999767877,0.0249983333342243,0,0.02500000000145519,0.022223111107854895,0.04047814285773451,0.01667099999031052,0.027779333334668383,0.04583512499448261,0,0,0.1125035000150092,0.07222766666867149,0.05500279999978375,0.01666799999657087,0,0.050002499992842786,0.08333900000434369,0.0250030000024708,0,0,0.026190142858208025,0.05000000000291038,0.016666999988956377,0.06547942857391068,0.03611099999883057,0.08750249999623823,0,0,0,0,0.033332999988488154,0.08334199999808334,0,0,1.1399980769227767,0.22785399999950798
313,0,0.02083300000958843,0.10417100000631763,0.02500150001045161,0.02333539999090135,0.041665500015369616,0.04999999998835847,0,0,0.05000300001120195,0,0,0.05208550000679679,0.025004000010085292,0.03333389999752399,0,0,0.02666619998635724,0,0,0,0,0,0,0,0,0.05000399998971261,0,0.016667000003508292,0,0.11667000001762062,0,0,0,0,0,0.05000199998903554,0,0,1.1912235882345532,0.4163803272743032
315,0,0,0.020834375005506445,0.033333999977912754,0.034616538466742404,0.016671999997925013,0.016667000018060207,0,0,0,0,0,0.01666650001425296,0,0.02381028571731544,0.050004999968223274,0,0.03333933333245417,0.016667000018060207,0,0,0.016667000018060207,0,0.020833249989664182,0,0.025001000001793727,0.01666866665861259,0,0.030953571424886053,0.01667099999031052,0.023334000015165657,0.029169499990530312,0,0.04583424999145791,0.024999999994179234,0,0,0,0,1.5607750714240995,0.18137979411917246
133,0,0,0.045835250057280064,0,0.02778266657454272,0.02500050002709031,0,0,0.023609333361188572,0.05000000004656613,0.016666666604578495,0,0,0,0.019446666662891705,0,0,0,0,0,0,0,0,0,0,0.05119114286000175,0.033332500024698675,0,0.03809557146658855,0,0,0.025001714272158488,0,0.022222333354875445,0,0,0,0.016666000010445714,0,1.447558999992907,0.4955739333294332
311,0,0,0.037501333349306755,0,0.06666899996344,0,0.0500016666483134,0,0.0583357500290731,0,0,0,0.03333349997410551,0,0.02500050002709031,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06363872726532546,0.03333300002850592,0.01666714285966009,0,0,0.044446666608564556,0,0,0.027777499984949827,0,0.016666000010445714,0.9814103529309196,0.3772073947199571
314,0,0,0.02500150001287693,0,0,0,0.05833150002581533,0,0.02037055555653448,0.016666000010445714,0,0.016666999988956377,0,0,0.027780666670878418,0,0,0,0,0,0,0,0,0,0,0.023078307686284043,0.025001833341472473,0,0.01666649998514913,0.08334799998556264,0.016666999988956377,0,0,0.1333359999989625,0.11667350001516752,0,0,0,0,1.25504849999852,0.037502749990380835
106,0,0,0.040231689657205076,0.020833499991567805,0.04479512499892735,0,0.01666650001425296,0,0,0.016666750008880626,0,0.026666600001044573,0.022222666651941836,0.033339999994495884,0.030209499989723554,0,0,0,0,0,0,0,0,0,0,0,0.029167374999815365,0.016666999988956377,0.038542749993212055,0.049998999980743974,0,0.033333999977912754,0,0,0,0,0,0,0,0.17990027325580488,0.09521647872238549
318,0,0.033334000036120415,0.04666779999388382,0.05555833332861463,0,0,0,0,0.016667000018060207,0,0,0,0.033332333337360374,0,0.033337750006467104,0,0,0,0,0,0,0,0,0,0,0.04444666666677222,0.01666949997888878,0,0.02778000000398606,0.016667000018060207,0,0,0,0,0,0,0,0,0,0.3079487142773966,0.15371011110255495
147,0,0.027778333324628573,0.01458474998071324,0.04167049995157868,0.05000599997583777,0,0.016667000018060207,0,0.025000749941682443,0,0.03333599999314174,0.016667500021867454,0.020834999944781885,0,0.03229325001302641,0,0,0,0,0,0,0,0,0,0,0.029166749998694286,0.027085499983513728,0.02222333336248994,0.04271068750676932,0.016666000010445714,0.036112333298660815,0.09167299990076572,0,0,0,0.08958699996583164,0.02499975002137944,0,0,1.7792352143109642,0.5064592045567803
191,0.0333329999120906,0.04166850002366118,0.02897042856507358,0.016668999975081533,0.05000400001881644,0,0.0333329999120906,0,0,0.016667000018060207,0,0,0.02333360002376139,0,0.02262171429382371,0.03333750000456348,0.016666000010445714,0,0,0,0,0,0,0,0,0,0,0,0.027780666675729055,0.016666000010445714,0,0.029168000008212402,0.016666999901644886,0.016667000018060207,0,0,0,0,0,1.1008757500036155,0.3076308857217165
189,0,0.033331500002532266,0.058336249996500555,0,0.030952857146205912,0.016666999988956377,0.016667000018060207,0,0,0,0.022222000019003946,0,0.029629666665439598,0.020455545462689108,0.0360015600011684,0.02333399999188259,0,0,0,0,0,0,0,0,0,0.0208344999991823,0.029169749985157978,0.016666000010445714,0.03257745454638181,0.02639027777897556,0.016668499985826202,0.023148666659835726,0,0.030304090908347545,0.016666000010445714,0.016667199990479276,0.03571514287198495,0,0.02333380001364276,1.6876940909079912,0.11998250684900248
316,0,0.016670000011799857,0.04305700000744158,0.016667000018060207,0.016666999959852546,0.016667000018060207,0.016663999995216727,0,0.041669249985716306,0,0,0.016666000010445714,0.02500000000873115,0,0.03750074999697972,0,0,0,0,0,0,0,0,0,0,0.016667000018060207,0,0,0,0,0,0,0,0,0,0,0,0,0,2.038171571429952,0.683361666665102
139,0.15000599999984843,0,0.06930036842095433,0.03666840000023512,0.04687687500018001,0.03257836363660648,0.033334000000346954,0.07500200000049517,0.06944583333400563,0.022223333333689272,0.02777800000027734,0.03889033333386275,0.043590230768901304,0.01666650000061054,0.11667299999953684,0.05463122222237063,0.025001500000144006,0.016667000001689303,0.05000099999961094,0.024999499999466934,0.05833450000045559,0.033334399999876044,0,0.0333360000004177,0,0.055953857143062384,0.08426177777801058,0.016665999999531778,0.04117747058808163,0.016666999999870313,0.06250325000019075,0.07500133333420915,0.016665999999531778,0.03333299999940209,0,0,0.029167499999402935,0,0,1.4363942777780114,0.37967947999997703
