Participant,Quality,Method,YearsCoding,AttentionSwitch_CodetoSummary,AttentionSwitch_Token
147,0,createCacheFile_50995324,4,17.0,246.0
315,0,getApplicableLaw_39298970,10,58.0,355.0
315,0,saveToFile_47571713,10,52.0,354.0
315,0,populateNewList_34427273,10,61.0,562.0
315,0,add_4114383,10,34.0,401.0
315,0,getTargetServiceName_29318894,10,45.0,194.0
315,0,actionPerformed_12725774,10,37.0,349.0
315,0,go_14477536,10,27.0,167.0
315,0,visitRetStmt_13482891,10,33.0,326.0
315,0,setPhoto_50994916,10,32.0,230.0
315,0,testOneTwoThreeCreateCycle_19507735,10,17.0,556.0
315,0,listen_29572299,10,42.0,245.0
315,0,clearFieldersFromField_45147874,10,9.0,33.0
315,0,testInvoke_39233866,10,30.0,348.0
315,0,getImageWithSource_1782360,10,18.0,112.0
315,0,setGenJarDir_31789275,10,18.0,130.0
315,0,getNAGString_43137003,10,27.0,373.0
315,0,getUserNameFromCookie_1694531,10,29.0,162.0
315,0,BFSdist_44521080,10,9.0,137.0
315,0,addPKColumn_51577053,10,22.0,117.0
315,0,appendDeclarations_36405409,10,11.0,149.0
315,0,updateGain_26215341,10,12.0,83.0
315,0,swapItems_36634895,10,12.0,100.0
315,0,updateSchema_4627680,10,13.0,47.0
314,0,readFromFile_16777940,5,22.0,137.0
314,0,updateSchema_4627680,5,5.0,91.0
314,0,getUserNameFromCookie_1694531,5,1.0,18.0
319,0,BFSdist_44521080,11,4.0,17.0
319,0,addPKColumn_51577053,11,6.0,3.0
319,0,clearFieldersFromField_45147874,11,6.0,1.0
319,0,isInvalidEmailLink_49250848,11,7.0,3.0
319,0,swapItems_36634895,11,3.0,1.0
319,0,updateSchema_4627680,11,8.0,12.0
319,0,getBackCommand2_29601536,11,2.0,10.0
136,0,add_4114383,5,4.0,117.0
136,0,testNegativeParseCases_31696447,5,9.0,72.0
136,0,clearFieldersFromField_45147874,5,6.0,107.0
312,0,saveSetting_46026508,8,,
312,0,appendDeclarations_36405409,8,,
312,0,addPKColumn_51577053,8,,
312,0,toString_39120328,8,,
312,0,listen_29572299,8,,
312,0,testCookieGreaterThan_39840471,8,,
312,0,play_41287529,8,,
312,0,BFSdist_44521080,8,,
312,0,removeService_38221424,8,,
312,0,getRodinDBStatus_19505695,8,,
312,0,getImageWithSource_1782360,8,3.0,30.0
312,0,readFromFile_16777940,8,9.0,66.0
312,0,addRotation_23014476,8,5.0,71.0
312,0,updateSchema_4627680,8,4.0,40.0
312,0,clearFieldersFromField_45147874,8,4.0,9.0
312,0,go_14477536,8,5.0,30.0
312,0,testSetExample_50891793,8,4.0,90.0
312,0,getClassNameForLookAndFeel_19218425,8,8.0,107.0
312,0,testSetWelcomeMsg_33719869,8,1.0,81.0
312,0,liesBetween_39299426,8,8.0,10.0
313,0,liesBetween_39299426,14,13.0,96.0
313,0,swapItems_36634895,14,15.0,83.0
313,0,listen_29572299,14,21.0,144.0
313,0,BFSdist_44521080,14,7.0,188.0
313,0,getImageWithSource_1782360,14,11.0,88.0
313,0,updateSchema_4627680,14,16.0,173.0
313,0,messageSent_19413001,14,15.0,207.0
313,0,updateGain_26215341,14,19.0,385.0
313,0,store_20787007,14,6.0,242.0
313,0,createChecklistItem_49866815,14,8.0,94.0
313,0,actionPerformed_12725774,14,3.0,151.0
313,0,addPKColumn_51577053,14,11.0,117.0
191,0,addRotation_23014476,4,21.0,401.0
191,0,swapItems_36634895,4,5.0,172.0
191,0,readFromFile_16777940,4,19.0,360.0
191,0,setGenJarDir_31789275,4,26.0,505.0
191,0,addPKColumn_51577053,4,9.0,160.0
191,0,BFSdist_44521080,4,4.0,194.0
191,0,clearFieldersFromField_45147874,4,17.0,234.0
191,0,getClassNameForLookAndFeel_19218425,4,19.0,297.0
191,0,selectBracketingEntries_40936756,4,21.0,292.0
191,0,testNegativeParseCases_31696447,4,18.0,129.0
168,0,clearFieldersFromField_45147874,4,9.0,85.0
168,0,BFSdist_44521080,4,31.0,361.0
168,0,swapItems_36634895,4,15.0,113.0
168,0,getMenuAdministracion_28631042,4,7.0,161.0
168,0,add_4114383,4,23.0,330.0
168,0,setPhoto_50994916,4,5.0,27.0
186,0,getImageWithSource_1782360,4,,
186,0,messageSent_19413001,4,,
186,0,setGenJarDir_31789275,4,3.0,4.0
186,0,updateSchema_4627680,4,4.0,18.0
186,0,evaluate_45130358,4,7.0,20.0
186,0,actionPerformed_12725774,4,10.0,227.0
186,0,addPKColumn_51577053,4,2.0,12.0
186,0,go_14477536,4,8.0,199.0
186,0,BFSdist_44521080,4,,
186,0,setSecurityMode_38737384,4,,
186,0,getRodinDBStatus_19505695,4,18.0,86.0
139,0,getMenuAdministracion_28631042,4,15.0,202.0
139,0,actionPerformed_12725774,4,25.0,500.0
139,0,getBackCommand22_40865212,4,16.0,174.0
139,0,go_14477536,4,30.0,311.0
139,0,store_20787007,4,17.0,466.0
139,0,updateGain_26215341,4,36.0,486.0
139,0,getImageWithSource_1782360,4,23.0,107.0
139,0,addPKColumn_51577053,4,25.0,223.0
139,0,testNegativeParseCases_31696447,4,18.0,152.0
139,0,getUserNameFromCookie_1694531,4,17.0,251.0
139,0,setUpMrj_14467418,4,21.0,138.0
316,0,updateGain_26215341,13,2.0,153.0
316,0,appendDeclarations_36405409,13,24.0,116.0
316,0,addPKColumn_51577053,13,11.0,51.0
316,0,getRemoteObject_50026101,13,19.0,57.0
316,0,setSecurityMode_38737384,13,13.0,123.0
316,0,getImageWithSource_1782360,13,9.0,63.0
316,0,testMoveRFWithNullContainer_19507414,13,4.0,53.0
316,0,searchRecipe_18421665,13,13.0,137.0
316,0,clearFieldersFromField_45147874,13,14.0,31.0
316,0,swapItems_36634895,13,5.0,62.0
316,0,setGenJarDir_31789275,13,19.0,270.0
316,0,showLatestPlan_18418213,13,5.0,96.0
316,0,liesBetween_39299426,13,10.0,172.0
316,0,BFSdist_44521080,13,16.0,205.0
317,0,clearFieldersFromField_45147874,5,12.0,232.0
317,0,actionPerformed_12725774,5,41.0,407.0
317,0,updateSchema_4627680,5,6.0,24.0
317,0,go_14477536,5,10.0,166.0
317,0,addPKColumn_51577053,5,8.0,102.0
317,0,testCookieGreaterThan_39840471,5,31.0,282.0
317,0,setSecurityMode_38737384,5,11.0,125.0
106,0,messageSent_19413001,6,31.0,334.0
106,0,clearFieldersFromField_45147874,6,23.0,133.0
106,0,addPKColumn_51577053,6,27.0,196.0
133,0,clearFieldersFromField_45147874,5,20.0,82.0
133,0,updateSchema_4627680,5,31.0,99.0
133,0,getUserNameFromCookie_1694531,5,31.0,222.0
133,0,updateGain_26215341,5,34.0,372.0
133,0,selectBracketingEntries_40936756,5,20.0,179.0
133,0,removeService_38221424,5,12.0,299.0
133,0,addPKColumn_51577053,5,29.0,302.0
133,0,swapItems_36634895,5,9.0,93.0
166,0,messageSent_19413001,6,14.0,53.0
166,0,addPKColumn_51577053,6,12.0,33.0
111,0,populateNewList_34427273,2,6.0,213.0
182,0,addPKColumn_51577053,3,25.0,143.0
182,0,updateSchema_4627680,3,13.0,28.0
182,0,getRodinDBStatus_19505695,3,18.0,216.0
182,0,clearFieldersFromField_45147874,3,4.0,17.0
182,0,go_14477536,3,20.0,78.0
182,0,messageSent_19413001,3,14.0,93.0
182,0,testNegativeParseCases_31696447,3,13.0,93.0
182,0,equals_10222579,3,17.0,85.0
189,0,BFSdist_44521080,8,10.0,337.0
189,0,createChecklistItem_49866815,8,16.0,349.0
189,0,handleHalt_19682824,8,9.0,52.0
189,0,readFromFile_16777940,8,22.0,242.0
189,0,addRotation_23014476,8,11.0,355.0
189,0,swapItems_36634895,8,23.0,575.0
129,0,getEffect_47571922,1,21.0,206.0
129,0,testNegativeParseCases_31696447,1,19.0,88.0
129,0,go_14477536,1,24.0,143.0
129,0,clearFieldersFromField_45147874,1,13.0,67.0
129,0,addPKColumn_51577053,1,32.0,161.0
129,0,updateSchema_4627680,1,16.0,38.0
129,0,searchRecipe_18421665,1,33.0,282.0
129,0,getImageWithSource_1782360,1,16.0,110.0
129,0,swapItems_36634895,1,9.0,174.0
129,0,testMoveRFWithNullContainer_19507414,1,7.0,122.0
117,0,getRemoteObject_50026101,4,19.0,122.0
117,0,updateSchema_4627680,4,10.0,68.0
117,0,getRodinDBStatus_19505695,4,34.0,101.0
117,0,getEffect_47571922,4,17.0,102.0
117,0,populateNewList_34427273,4,16.0,268.0
117,0,onAttach_1810081,4,20.0,27.0
117,0,getImageWithSource_1782360,4,12.0,83.0
117,0,go_14477536,4,11.0,201.0
117,0,createChecklistItem_49866815,4,6.0,102.0
117,0,setPhoto_50994916,4,23.0,327.0
117,0,updateGain_26215341,4,14.0,118.0
117,0,actionPerformed_12725774,4,9.0,169.0
122,0,getMenuAdministracion_28631042,2,,
122,0,clearFieldersFromField_45147874,2,,
122,0,equals_10222579,2,,
122,0,setPhoto_50994916,2,,
122,0,actionPerformed_12725774,2,,
122,0,getImageWithSource_1782360,2,,
122,0,listen_29572299,2,,
122,0,messageSent_19413001,2,,
122,0,updateSchema_4627680,2,,
122,0,swapItems_36634895,2,,
122,0,testGetEmail_33718481,2,,
122,0,addPKColumn_51577053,2,,
122,0,go_14477536,2,,
122,0,getApplicableLaw_39298970,2,,
122,0,testOneTwoThreeCreateCycle_19507735,2,,
122,0,add_4114383,2,,
122,0,makeUniqueParagraphForGlobalWithLength_34105249,2,,
155,0,getImageWithSource_1782360,5,11.0,15.0
155,0,getUserNameFromCookie_1694531,5,19.0,123.0
155,0,addRotation_23014476,5,8.0,78.0
155,0,swapItems_36634895,5,4.0,46.0
155,0,actionPerformed_12725774,5,4.0,332.0
155,0,removeService_38221424,5,12.0,132.0
155,0,BFSdist_44521080,5,13.0,345.0
155,0,appendDeclarations_36405409,5,19.0,170.0
155,0,evaluate_45130358,5,4.0,25.0
155,0,updateGain_26215341,5,7.0,93.0
311,0,swapItems_36634895,9,21.0,83.0
311,0,getUserNameFromCookie_1694531,9,9.0,28.0
311,0,addPKColumn_51577053,9,25.0,76.0
311,0,getImageWithSource_1782360,9,4.0,61.0
176,0,swapItems_36634895,4,12.0,136.0
176,0,print_7957602,4,12.0,149.0
176,0,add_4114383,4,8.0,157.0
176,0,invalidateSession_18354735,4,13.0,97.0
176,0,selectBracketingEntries_40936756,4,21.0,240.0
176,0,updateSchema_4627680,4,11.0,65.0
176,0,getBackCommand22_40865212,4,11.0,63.0
176,0,testGetEmail_33718481,4,12.0,184.0
176,0,getImageWithSource_1782360,4,11.0,76.0
176,0,equals_10222579,4,11.0,123.0
176,0,setSecurityMode_38737384,4,7.0,53.0
310,0,handleHalt_19682824,10,1.0,0.0
310,0,messageSent_19413001,10,0.0,0.0
310,0,appendDeclarations_36405409,10,7.0,41.0
143,0,clearFieldersFromField_45147874,5,7.0,107.0
143,0,getImageWithSource_1782360,5,9.0,85.0
143,0,deleteCascade_34604973,5,19.0,189.0
143,0,updateSchema_4627680,5,9.0,51.0
147,1,go_14477536,4,17.0,210.0
147,1,equals_10222579,4,20.0,119.0
147,1,appendDeclarations_36405409,4,23.0,233.0
147,1,testInvoke_39233866,4,17.0,343.0
147,1,getImageWithSource_1782360,4,21.0,243.0
147,1,exportXVRL_45047585,4,26.0,442.0
147,1,populateNewList_34427273,4,10.0,334.0
147,1,getClassNameForLookAndFeel_19218425,4,12.0,207.0
147,1,setGenJarDir_31789275,4,23.0,479.0
147,1,add_4114383,4,14.0,141.0
147,1,getNAGString_43137003,4,11.0,251.0
147,1,BFSdist_44521080,4,11.0,220.0
147,1,testNegativeParseCases_31696447,4,18.0,216.0
147,1,clearFieldersFromField_45147874,4,15.0,69.0
147,1,messageSent_19413001,4,15.0,374.0
147,1,updateGain_26215341,4,28.0,361.0
147,1,updateSchema_4627680,4,18.0,144.0
147,1,actionPerformed_12725774,4,17.0,237.0
147,1,addPKColumn_51577053,4,13.0,163.0
147,1,testSetWelcomeMsg_33719869,4,15.0,242.0
314,1,print_7957602,5,9.0,86.0
314,1,actionPerformed_12725774,5,6.0,191.0
314,1,getClassNameForLookAndFeel_19218425,5,15.0,61.0
314,1,BFSdist_44521080,5,5.0,52.0
314,1,equals_10222579,5,6.0,98.0
314,1,updateGain_26215341,5,14.0,96.0
314,1,setGenJarDir_31789275,5,,
314,1,messageSent_19413001,5,10.0,64.0
314,1,getJSplitPane_39233258,5,3.0,38.0
314,1,getBackCommand2_29601536,5,6.0,29.0
314,1,testInvoke_39233866,5,4.0,78.0
314,1,removeService_38221424,5,3.0,42.0
318,1,toString_39120328,7,15.0,104.0
318,1,exportXVRL_45047585,7,19.0,31.0
318,1,equals_10222579,7,19.0,39.0
318,1,testNegativeParseCases_31696447,7,19.0,24.0
318,1,BFSdist_44521080,7,8.0,35.0
318,1,testValidateSeparationCount_26285656,7,18.0,32.0
318,1,add_4114383,7,8.0,8.0
318,1,makeUniqueParagraphForGlobalWithLength_34105249,7,7.0,28.0
318,1,createChecklistItem_49866815,7,6.0,48.0
318,1,go_14477536,7,10.0,32.0
318,1,testInvoke_39233866,7,9.0,60.0
318,1,setGenJarDir_31789275,7,1.0,3.0
318,1,addPKColumn_51577053,7,11.0,14.0
318,1,actionPerformed_12725774,7,9.0,34.0
318,1,updateGain_26215341,7,17.0,26.0
319,1,evaluate_45130358,11,7.0,15.0
319,1,visitRetStmt_13482891,11,8.0,50.0
319,1,actionPerformed_12725774,11,4.0,29.0
319,1,testNegativeParseCases_31696447,11,12.0,10.0
319,1,goToRegistration_47570692,11,2.0,19.0
319,1,appendDeclarations_36405409,11,4.0,10.0
319,1,createCacheFile_50995324,11,1.0,19.0
319,1,getTargetServiceName_29318894,11,2.0,24.0
136,1,appendDeclarations_36405409,5,4.0,103.0
136,1,goToRegistration_47570692,5,1.0,225.0
136,1,setGenJarDir_31789275,5,14.0,363.0
136,1,swapItems_36634895,5,1.0,97.0
136,1,go_14477536,5,12.0,390.0
136,1,messageSent_19413001,5,7.0,137.0
136,1,actionPerformed_12725774,5,9.0,372.0
136,1,deleteCascade_34604973,5,4.0,104.0
136,1,testValidateSeparationCount_26285656,5,8.0,129.0
136,1,print_7957602,5,8.0,207.0
136,1,getUserNameFromCookie_1694531,5,4.0,166.0
136,1,updateGain_26215341,5,8.0,334.0
312,1,add_4114383,8,,
312,1,test_10_bug2689872_19498280,8,,
312,1,testInvoke_39233866,8,4.0,59.0
312,1,actionPerformed_12725774,8,8.0,58.0
313,1,testNegativeParseCases_31696447,14,,
313,1,compareTo_17121898,14,22.0,125.0
313,1,getEffect_47571922,14,5.0,21.0
313,1,appendDeclarations_36405409,14,13.0,262.0
191,1,setSecurityMode_38737384,4,44.0,420.0
191,1,setPhoto_50994916,4,73.0,894.0
191,1,updateGain_26215341,4,,
191,1,getUserNameFromCookie_1694531,4,19.0,338.0
191,1,appendDeclarations_36405409,4,31.0,279.0
168,1,testGetEmail_33718481,4,26.0,139.0
168,1,compareTo_17121898,4,20.0,121.0
168,1,getImageWithSource_1782360,4,22.0,220.0
168,1,updateSchema_4627680,4,25.0,124.0
168,1,test_10_bug2689872_19498280,4,17.0,804.0
168,1,appendDeclarations_36405409,4,24.0,306.0
168,1,store_20787007,4,13.0,318.0
168,1,getUserNameFromCookie_1694531,4,,
168,1,testNegativeParseCases_31696447,4,13.0,49.0
168,1,equals_10222579,4,19.0,338.0
168,1,testOneTwoThreeCreateCycle_19507735,4,13.0,126.0
168,1,exportXVRL_45047585,4,13.0,385.0
168,1,readFromFile_16777940,4,13.0,71.0
168,1,setGenJarDir_31789275,4,15.0,140.0
168,1,actionPerformed_12725774,4,18.0,291.0
186,1,testNegativeParseCases_31696447,4,1.0,55.0
186,1,appendDeclarations_36405409,4,22.0,222.0
186,1,testValidateSeparationCount_26285656,4,6.0,14.0
186,1,add_4114383,4,,
186,1,updateGain_26215341,4,1.0,31.0
139,1,liesBetween_39299426,4,25.0,421.0
139,1,setGenJarDir_31789275,4,17.0,285.0
139,1,messageSent_19413001,4,14.0,187.0
317,1,add_4114383,5,10.0,135.0
317,1,equals_10222579,5,19.0,323.0
317,1,store_20787007,5,9.0,202.0
317,1,deleteCascade_34604973,5,16.0,189.0
317,1,BFSdist_44521080,5,15.0,729.0
317,1,setGenJarDir_31789275,5,27.0,1221.0
106,1,setPhoto_50994916,6,25.0,279.0
106,1,searchRecipe_18421665,6,40.0,1018.0
106,1,BFSdist_44521080,6,15.0,24.0
106,1,appendDeclarations_36405409,6,21.0,98.0
106,1,updateSchema_4627680,6,,
106,1,testNegativeParseCases_31696447,6,16.0,187.0
106,1,go_14477536,6,28.0,121.0
106,1,getImageWithSource_1782360,6,14.0,132.0
106,1,test_10_bug2689872_19498280,6,3.0,140.0
133,1,setPhoto_50994916,5,49.0,504.0
133,1,go_14477536,5,39.0,243.0
133,1,testNegativeParseCases_31696447,5,33.0,136.0
133,1,exportXVRL_45047585,5,17.0,195.0
133,1,messageSent_19413001,5,47.0,333.0
133,1,BFSdist_44521080,5,12.0,211.0
133,1,actionPerformed_12725774,5,15.0,358.0
133,1,getBackCommand2_29601536,5,17.0,109.0
133,1,equals_10222579,5,29.0,200.0
166,1,add_4114383,6,7.0,223.0
166,1,equals_10222579,6,10.0,64.0
166,1,getBackCommand2_29601536,6,10.0,71.0
166,1,appendDeclarations_36405409,6,24.0,154.0
166,1,BFSdist_44521080,6,14.0,239.0
166,1,showLatestPlan_18418213,6,6.0,111.0
166,1,updateSchema_4627680,6,18.0,34.0
166,1,setPhoto_50994916,6,20.0,129.0
166,1,testNegativeParseCases_31696447,6,12.0,25.0
166,1,compareTo_17121898,6,17.0,68.0
166,1,testOneTwoThreeCreateCycle_19507735,6,7.0,119.0
111,1,go_14477536,2,3.0,175.0
111,1,actionPerformed_12725774,2,6.0,439.0
111,1,setUpMrj_14467418,2,5.0,66.0
111,1,updateGain_26215341,2,10.0,216.0
111,1,BFSdist_44521080,2,5.0,63.0
111,1,print_7957602,2,10.0,87.0
111,1,appendDeclarations_36405409,2,7.0,66.0
111,1,setGenJarDir_31789275,2,8.0,92.0
111,1,testOneTwoThreeCreateCycle_19507735,2,5.0,234.0
111,1,add_4114383,2,4.0,93.0
111,1,testNegativeParseCases_31696447,2,8.0,26.0
182,1,invalidateSession_18354735,3,42.0,190.0
182,1,appendDeclarations_36405409,3,32.0,98.0
182,1,setGenJarDir_31789275,3,55.0,198.0
182,1,getUserNameFromCookie_1694531,3,35.0,67.0
182,1,updateGain_26215341,3,19.0,128.0
182,1,getImageWithSource_1782360,3,15.0,32.0
182,1,BFSdist_44521080,3,19.0,219.0
189,1,abstractMatrix3D_12723449,8,15.0,144.0
189,1,go_14477536,8,12.0,371.0
189,1,isInvalidEmailLink_49250848,8,,
189,1,testNegativeParseCases_31696447,8,13.0,79.0
189,1,getNAGString_43137003,8,15.0,443.0
189,1,actionPerformed_12725774,8,42.0,1082.0
129,1,BFSdist_44521080,1,21.0,389.0
129,1,actionPerformed_12725774,1,17.0,260.0
129,1,abstractMatrix3D_12723449,1,33.0,560.0
117,1,swapItems_36634895,4,9.0,285.0
117,1,messageSent_19413001,4,11.0,141.0
117,1,setGenJarDir_31789275,4,20.0,353.0
122,1,BFSdist_44521080,2,,
122,1,testNegativeParseCases_31696447,2,,
122,1,setGenJarDir_31789275,2,,
155,1,add_4114383,5,22.0,626.0
155,1,testOneTwoThreeCreateCycle_19507735,5,,
311,1,testSetWelcomeMsg_33719869,9,31.0,126.0
311,1,setGenJarDir_31789275,9,28.0,157.0
311,1,addRotation_23014476,9,31.0,256.0
311,1,clearFieldersFromField_45147874,9,12.0,46.0
311,1,testSetExample_50891793,9,25.0,272.0
311,1,liesBetween_39299426,9,52.0,145.0
311,1,BFSdist_44521080,9,16.0,164.0
311,1,appendDeclarations_36405409,9,36.0,90.0
311,1,add_4114383,9,14.0,117.0
311,1,updateGain_26215341,9,,
311,1,actionPerformed_12725774,9,23.0,57.0
311,1,go_14477536,9,4.0,32.0
176,1,searchRecipe_18421665,4,22.0,460.0
176,1,setGenJarDir_31789275,4,15.0,299.0
176,1,store_20787007,4,7.0,81.0
310,1,testMoveRFWithNullContainer_19507414,10,1.0,6.0
310,1,addPKColumn_51577053,10,1.0,5.0
310,1,equals_10222579,10,5.0,64.0
310,1,actionPerformed_12725774,10,14.0,29.0
310,1,getImageWithSource_1782360,10,,
310,1,testNegativeParseCases_31696447,10,1.0,1.0
310,1,BFSdist_44521080,10,3.0,4.0
310,1,updateGain_26215341,10,1.0,4.0
143,1,testOneTwoThreeCreateCycle_19507735,5,9.0,384.0
143,1,swapItems_36634895,5,,
143,1,getNAGString_43137003,5,18.0,369.0
143,1,selectBracketingEntries_40936756,5,37.0,254.0
143,1,getEffect_47571922,5,10.0,285.0
143,1,equals_10222579,5,12.0,197.0