Participant,Quality,Method,AttentionSwitch
147,0,createCacheFile_50995324,0
315,0,getApplicableLaw_39298970,0
315,0,saveToFile_47571713,0
315,0,populateNewList_34427273,0
315,0,add_4114383,0
315,0,getTargetServiceName_29318894,0
315,0,actionPerformed_12725774,0
315,0,go_14477536,0
315,0,visitRetStmt_13482891,0
315,0,setPhoto_50994916,0
315,0,testOneTwoThreeCreateCycle_19507735,0
315,0,listen_29572299,0
315,0,clearFieldersFromField_45147874,0
315,0,testInvoke_39233866,0
315,0,getImageWithSource_1782360,0
315,0,setGenJarDir_31789275,0
315,0,getNAGString_43137003,0
315,0,getUserNameFromCookie_1694531,0
315,0,BFSdist_44521080,0
315,0,addPKColumn_51577053,0
315,0,appendDeclarations_36405409,0
315,0,updateGain_26215341,0
315,0,swapItems_36634895,0
315,0,updateSchema_4627680,0
314,0,readFromFile_16777940,0
314,0,updateSchema_4627680,0
314,0,getUserNameFromCookie_1694531,0
319,0,BFSdist_44521080,0
319,0,addPKColumn_51577053,0
319,0,clearFieldersFromField_45147874,0
319,0,isInvalidEmailLink_49250848,0
319,0,swapItems_36634895,0
319,0,updateSchema_4627680,0
319,0,getBackCommand2_29601536,0
136,0,add_4114383,0
136,0,testNegativeParseCases_31696447,0
136,0,clearFieldersFromField_45147874,0
312,0,saveSetting_46026508,0
312,0,appendDeclarations_36405409,0
312,0,addPKColumn_51577053,0
312,0,toString_39120328,0
312,0,listen_29572299,0
312,0,testCookieGreaterThan_39840471,0
312,0,play_41287529,0
312,0,BFSdist_44521080,0
312,0,removeService_38221424,0
312,0,getRodinDBStatus_19505695,0
312,0,getImageWithSource_1782360,0
312,0,readFromFile_16777940,0
312,0,addRotation_23014476,0
312,0,updateSchema_4627680,0
312,0,clearFieldersFromField_45147874,0
312,0,go_14477536,0
312,0,testSetExample_50891793,0
312,0,getClassNameForLookAndFeel_19218425,0
312,0,testSetWelcomeMsg_33719869,0
312,0,liesBetween_39299426,0
313,0,liesBetween_39299426,0
313,0,swapItems_36634895,0
313,0,listen_29572299,0
313,0,BFSdist_44521080,0
313,0,getImageWithSource_1782360,0
313,0,updateSchema_4627680,0
313,0,messageSent_19413001,0
313,0,updateGain_26215341,0
313,0,store_20787007,0
313,0,createChecklistItem_49866815,0
313,0,actionPerformed_12725774,0
313,0,addPKColumn_51577053,0
191,0,addRotation_23014476,0
191,0,swapItems_36634895,0
191,0,readFromFile_16777940,0
191,0,setGenJarDir_31789275,0
191,0,addPKColumn_51577053,0
191,0,BFSdist_44521080,0
191,0,clearFieldersFromField_45147874,0
191,0,getClassNameForLookAndFeel_19218425,0
191,0,selectBracketingEntries_40936756,0
191,0,testNegativeParseCases_31696447,0
168,0,clearFieldersFromField_45147874,0
168,0,BFSdist_44521080,0
168,0,swapItems_36634895,0
168,0,getMenuAdministracion_28631042,0
168,0,add_4114383,0
168,0,setPhoto_50994916,0
186,0,getImageWithSource_1782360,0
186,0,messageSent_19413001,0
186,0,setGenJarDir_31789275,0
186,0,updateSchema_4627680,0
186,0,evaluate_45130358,0
186,0,actionPerformed_12725774,0
186,0,addPKColumn_51577053,0
186,0,go_14477536,0
186,0,BFSdist_44521080,0
186,0,setSecurityMode_38737384,0
186,0,getRodinDBStatus_19505695,0
139,0,getMenuAdministracion_28631042,0
139,0,actionPerformed_12725774,0
139,0,getBackCommand22_40865212,0
139,0,go_14477536,0
139,0,store_20787007,0
139,0,updateGain_26215341,0
139,0,getImageWithSource_1782360,0
139,0,addPKColumn_51577053,0
139,0,testNegativeParseCases_31696447,0
139,0,getUserNameFromCookie_1694531,0
139,0,setUpMrj_14467418,0
316,0,updateGain_26215341,0
316,0,appendDeclarations_36405409,0
316,0,addPKColumn_51577053,0
316,0,getRemoteObject_50026101,0
316,0,setSecurityMode_38737384,0
316,0,getImageWithSource_1782360,0
316,0,testMoveRFWithNullContainer_19507414,0
316,0,searchRecipe_18421665,0
316,0,clearFieldersFromField_45147874,0
316,0,swapItems_36634895,0
316,0,setGenJarDir_31789275,0
316,0,showLatestPlan_18418213,0
316,0,liesBetween_39299426,0
316,0,BFSdist_44521080,0
317,0,clearFieldersFromField_45147874,0
317,0,actionPerformed_12725774,0
317,0,updateSchema_4627680,0
317,0,go_14477536,0
317,0,addPKColumn_51577053,0
317,0,testCookieGreaterThan_39840471,0
317,0,setSecurityMode_38737384,0
106,0,messageSent_19413001,0
106,0,clearFieldersFromField_45147874,0
106,0,addPKColumn_51577053,0
133,0,clearFieldersFromField_45147874,0
133,0,updateSchema_4627680,0
133,0,getUserNameFromCookie_1694531,0
133,0,updateGain_26215341,0
133,0,selectBracketingEntries_40936756,0
133,0,removeService_38221424,0
133,0,addPKColumn_51577053,0
133,0,swapItems_36634895,0
166,0,messageSent_19413001,0
166,0,addPKColumn_51577053,0
111,0,populateNewList_34427273,0
182,0,addPKColumn_51577053,0
182,0,updateSchema_4627680,0
182,0,getRodinDBStatus_19505695,0
182,0,clearFieldersFromField_45147874,0
182,0,go_14477536,0
182,0,messageSent_19413001,0
182,0,testNegativeParseCases_31696447,0
182,0,equals_10222579,0
189,0,BFSdist_44521080,0
189,0,createChecklistItem_49866815,0
189,0,handleHalt_19682824,0
189,0,readFromFile_16777940,0
189,0,addRotation_23014476,0
189,0,swapItems_36634895,0
129,0,getEffect_47571922,0
129,0,testNegativeParseCases_31696447,0
129,0,go_14477536,0
129,0,clearFieldersFromField_45147874,0
129,0,addPKColumn_51577053,0
129,0,updateSchema_4627680,0
129,0,searchRecipe_18421665,0
129,0,getImageWithSource_1782360,0
129,0,swapItems_36634895,0
129,0,testMoveRFWithNullContainer_19507414,0
117,0,getRemoteObject_50026101,0
117,0,updateSchema_4627680,0
117,0,getRodinDBStatus_19505695,0
117,0,getEffect_47571922,0
117,0,populateNewList_34427273,0
117,0,onAttach_1810081,0
117,0,getImageWithSource_1782360,0
117,0,go_14477536,0
117,0,createChecklistItem_49866815,0
117,0,setPhoto_50994916,0
117,0,updateGain_26215341,0
117,0,actionPerformed_12725774,0
122,0,getMenuAdministracion_28631042,0
122,0,clearFieldersFromField_45147874,0
122,0,equals_10222579,0
122,0,setPhoto_50994916,0
122,0,actionPerformed_12725774,0
122,0,getImageWithSource_1782360,0
122,0,listen_29572299,0
122,0,messageSent_19413001,0
122,0,updateSchema_4627680,0
122,0,swapItems_36634895,0
122,0,testGetEmail_33718481,0
122,0,addPKColumn_51577053,0
122,0,go_14477536,0
122,0,getApplicableLaw_39298970,0
122,0,testOneTwoThreeCreateCycle_19507735,0
122,0,add_4114383,0
122,0,makeUniqueParagraphForGlobalWithLength_34105249,0
155,0,getImageWithSource_1782360,0
155,0,getUserNameFromCookie_1694531,0
155,0,addRotation_23014476,0
155,0,swapItems_36634895,0
155,0,actionPerformed_12725774,0
155,0,removeService_38221424,0
155,0,BFSdist_44521080,0
155,0,appendDeclarations_36405409,0
155,0,evaluate_45130358,0
155,0,updateGain_26215341,0
311,0,swapItems_36634895,0
311,0,getUserNameFromCookie_1694531,0
311,0,addPKColumn_51577053,0
311,0,getImageWithSource_1782360,0
176,0,swapItems_36634895,0
176,0,print_7957602,0
176,0,add_4114383,0
176,0,invalidateSession_18354735,0
176,0,selectBracketingEntries_40936756,0
176,0,updateSchema_4627680,0
176,0,getBackCommand22_40865212,0
176,0,testGetEmail_33718481,0
176,0,getImageWithSource_1782360,0
176,0,equals_10222579,0
176,0,setSecurityMode_38737384,0
310,0,handleHalt_19682824,0
310,0,messageSent_19413001,0
310,0,appendDeclarations_36405409,0
143,0,clearFieldersFromField_45147874,0
143,0,getImageWithSource_1782360,0
143,0,deleteCascade_34604973,0
143,0,updateSchema_4627680,0
147,1,go_14477536,0
147,1,equals_10222579,0
147,1,appendDeclarations_36405409,0
147,1,testInvoke_39233866,0
147,1,getImageWithSource_1782360,0
147,1,exportXVRL_45047585,0
147,1,populateNewList_34427273,0
147,1,getClassNameForLookAndFeel_19218425,0
147,1,setGenJarDir_31789275,0
147,1,add_4114383,0
147,1,getNAGString_43137003,0
147,1,BFSdist_44521080,0
147,1,testNegativeParseCases_31696447,0
147,1,clearFieldersFromField_45147874,0
147,1,messageSent_19413001,0
147,1,updateGain_26215341,0
147,1,updateSchema_4627680,0
147,1,actionPerformed_12725774,0
147,1,addPKColumn_51577053,0
147,1,testSetWelcomeMsg_33719869,0
314,1,print_7957602,0
314,1,actionPerformed_12725774,0
314,1,getClassNameForLookAndFeel_19218425,0
314,1,BFSdist_44521080,0
314,1,equals_10222579,0
314,1,updateGain_26215341,0
314,1,setGenJarDir_31789275,0
314,1,messageSent_19413001,0
314,1,getJSplitPane_39233258,0
314,1,getBackCommand2_29601536,0
314,1,testInvoke_39233866,0
314,1,removeService_38221424,0
318,1,toString_39120328,0
318,1,exportXVRL_45047585,0
318,1,equals_10222579,0
318,1,testNegativeParseCases_31696447,0
318,1,BFSdist_44521080,0
318,1,testValidateSeparationCount_26285656,0
318,1,add_4114383,0
318,1,makeUniqueParagraphForGlobalWithLength_34105249,0
318,1,createChecklistItem_49866815,0
318,1,go_14477536,0
318,1,testInvoke_39233866,0
318,1,setGenJarDir_31789275,0
318,1,addPKColumn_51577053,0
318,1,actionPerformed_12725774,0
318,1,updateGain_26215341,0
319,1,evaluate_45130358,0
319,1,visitRetStmt_13482891,0
319,1,actionPerformed_12725774,0
319,1,testNegativeParseCases_31696447,0
319,1,goToRegistration_47570692,0
319,1,appendDeclarations_36405409,0
319,1,createCacheFile_50995324,0
319,1,getTargetServiceName_29318894,0
136,1,appendDeclarations_36405409,0
136,1,goToRegistration_47570692,0
136,1,setGenJarDir_31789275,0
136,1,swapItems_36634895,0
136,1,go_14477536,0
136,1,messageSent_19413001,0
136,1,actionPerformed_12725774,0
136,1,deleteCascade_34604973,0
136,1,testValidateSeparationCount_26285656,0
136,1,print_7957602,0
136,1,getUserNameFromCookie_1694531,0
136,1,updateGain_26215341,0
312,1,add_4114383,0
312,1,test_10_bug2689872_19498280,0
312,1,testInvoke_39233866,0
312,1,actionPerformed_12725774,0
313,1,testNegativeParseCases_31696447,0
313,1,compareTo_17121898,0
313,1,getEffect_47571922,0
313,1,appendDeclarations_36405409,0
191,1,setSecurityMode_38737384,0
191,1,setPhoto_50994916,0
191,1,updateGain_26215341,0
191,1,getUserNameFromCookie_1694531,0
191,1,appendDeclarations_36405409,0
168,1,testGetEmail_33718481,0
168,1,compareTo_17121898,0
168,1,getImageWithSource_1782360,0
168,1,updateSchema_4627680,0
168,1,test_10_bug2689872_19498280,0
168,1,appendDeclarations_36405409,0
168,1,store_20787007,0
168,1,getUserNameFromCookie_1694531,0
168,1,testNegativeParseCases_31696447,0
168,1,equals_10222579,0
168,1,testOneTwoThreeCreateCycle_19507735,0
168,1,exportXVRL_45047585,0
168,1,readFromFile_16777940,0
168,1,setGenJarDir_31789275,0
168,1,actionPerformed_12725774,0
186,1,testNegativeParseCases_31696447,0
186,1,appendDeclarations_36405409,0
186,1,testValidateSeparationCount_26285656,0
186,1,add_4114383,0
186,1,updateGain_26215341,0
139,1,liesBetween_39299426,0
139,1,setGenJarDir_31789275,0
139,1,messageSent_19413001,0
317,1,add_4114383,0
317,1,equals_10222579,0
317,1,store_20787007,0
317,1,deleteCascade_34604973,0
317,1,BFSdist_44521080,0
317,1,setGenJarDir_31789275,0
106,1,setPhoto_50994916,0
106,1,searchRecipe_18421665,0
106,1,BFSdist_44521080,0
106,1,appendDeclarations_36405409,0
106,1,updateSchema_4627680,0
106,1,testNegativeParseCases_31696447,0
106,1,go_14477536,0
106,1,getImageWithSource_1782360,0
106,1,test_10_bug2689872_19498280,0
133,1,setPhoto_50994916,0
133,1,go_14477536,0
133,1,testNegativeParseCases_31696447,0
133,1,exportXVRL_45047585,0
133,1,messageSent_19413001,0
133,1,BFSdist_44521080,0
133,1,actionPerformed_12725774,0
133,1,getBackCommand2_29601536,0
133,1,equals_10222579,0
166,1,add_4114383,0
166,1,equals_10222579,0
166,1,getBackCommand2_29601536,0
166,1,appendDeclarations_36405409,0
166,1,BFSdist_44521080,0
166,1,showLatestPlan_18418213,0
166,1,updateSchema_4627680,0
166,1,setPhoto_50994916,0
166,1,testNegativeParseCases_31696447,0
166,1,compareTo_17121898,0
166,1,testOneTwoThreeCreateCycle_19507735,0
111,1,go_14477536,0
111,1,actionPerformed_12725774,0
111,1,setUpMrj_14467418,0
111,1,updateGain_26215341,0
111,1,BFSdist_44521080,0
111,1,print_7957602,0
111,1,appendDeclarations_36405409,0
111,1,setGenJarDir_31789275,0
111,1,testOneTwoThreeCreateCycle_19507735,0
111,1,add_4114383,0
111,1,testNegativeParseCases_31696447,0
182,1,invalidateSession_18354735,0
182,1,appendDeclarations_36405409,0
182,1,setGenJarDir_31789275,0
182,1,getUserNameFromCookie_1694531,0
182,1,updateGain_26215341,0
182,1,getImageWithSource_1782360,0
182,1,BFSdist_44521080,0
189,1,abstractMatrix3D_12723449,0
189,1,go_14477536,0
189,1,isInvalidEmailLink_49250848,0
189,1,testNegativeParseCases_31696447,0
189,1,getNAGString_43137003,0
189,1,actionPerformed_12725774,0
129,1,BFSdist_44521080,0
129,1,actionPerformed_12725774,0
129,1,abstractMatrix3D_12723449,0
117,1,swapItems_36634895,0
117,1,messageSent_19413001,0
117,1,setGenJarDir_31789275,0
122,1,BFSdist_44521080,0
122,1,testNegativeParseCases_31696447,0
122,1,setGenJarDir_31789275,0
155,1,add_4114383,0
155,1,testOneTwoThreeCreateCycle_19507735,0
311,1,testSetWelcomeMsg_33719869,0
311,1,setGenJarDir_31789275,0
311,1,addRotation_23014476,0
311,1,clearFieldersFromField_45147874,0
311,1,testSetExample_50891793,0
311,1,liesBetween_39299426,0
311,1,BFSdist_44521080,0
311,1,appendDeclarations_36405409,0
311,1,add_4114383,0
311,1,updateGain_26215341,0
311,1,actionPerformed_12725774,0
311,1,go_14477536,0
176,1,searchRecipe_18421665,0
176,1,setGenJarDir_31789275,0
176,1,store_20787007,0
310,1,testMoveRFWithNullContainer_19507414,0
310,1,addPKColumn_51577053,0
310,1,equals_10222579,0
310,1,actionPerformed_12725774,0
310,1,getImageWithSource_1782360,0
310,1,testNegativeParseCases_31696447,0
310,1,BFSdist_44521080,0
310,1,updateGain_26215341,0
143,1,testOneTwoThreeCreateCycle_19507735,0
143,1,swapItems_36634895,0
143,1,getNAGString_43137003,0
143,1,selectBracketingEntries_40936756,0
143,1,getEffect_47571922,0
143,1,equals_10222579,0
